username,n_comments,n_valid_text_comments,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,dominant_sentiment,avg_sentiment_confidence,is_hcc_member,community,primary_brand,brand_label_auto,brand_combo,brand_confidence,degree,weighted_degree,betweenness,narrative_similarity_level
reviewjujur_cp600,3,3,0,3,0,0.0,1.0,0.0,Neutral,0.860235313574473,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
ajie.wardhana,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.9560804963111877,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
sisisinta498,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9882099628448486,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
eryy622,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.6550856828689575,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
skintok_ct62066,11,11,4,3,4,0.36363636363636365,0.2727272727272727,0.36363636363636365,Mixed,0.8754705353216692,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
rchrnnsy,1,1,0,0,1,0.0,0.0,1.0,Negative,0.5157994031906128,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
ilhamaunard,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9769457578659058,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
sinsin3224,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.8403546214103699,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
hushush11,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.6721432209014893,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
vivianmarguerre,62,62,21,33,8,0.3387096774193548,0.532258064516129,0.12903225806451613,Neutral,0.8502949231093929,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
