hcc_id,n_representative_comments,representative_comment_ids,ai_hcc_goal_review,ai_hcc_goal_reason,ai_hcc_review_confidence,observed_message_orientation,ambiguity_notes,algorithmic_goal_orientation,algorithmic_goal_confidence,exact_match,notes
1,12,7423348592411476741;7390719191257547526;7314654163928826630;7289257846423487238;7423374192596894470;7427340457074475782;7409986060673041157;7289041192095892230;7425926701983548165;7388459009269252870;7431584877764739847;7461648938883433222,Neutral Engagement,"AI-assisted review of representative comments: pos=3, neu=7, neg=1, non-evaluable=1.",High,Neutral,descriptive;emoji_only;potential_sarcasm;question;slang;very_short,Polarized / Contested,Low,False,AI HCC review is not human gold-standard validation.
103,12,7396506273846067973;7317936047256732421;7411054138219987717;7314892219084014341;7381773901539508998;7325689609408578309;7601555992890884885;7294785610052748037;7321158868213334790;7390035189970453253;7314197416533525254;7379566393529844485,Neutral Engagement,"AI-assisted review of representative comments: pos=2, neu=7, neg=3, non-evaluable=0.",High,Neutral,mixed_sentiment;question;slang;very_short,Polarized / Contested,Low,False,AI HCC review is not human gold-standard validation.
113,6,6117041290526603935;3016109682593500930;8097956975082325970;7159877433512691696;5004857292852534225;6497555322016849843,Promotional / Supportive,"AI-assisted review of representative comments: pos=5, neu=0, neg=0, non-evaluable=1.",Medium,Positive,code_mixing;mixed_or_low_margin;mixed_sentiment;slang,Promotional / Supportive,High,True,AI HCC review is not human gold-standard validation.
114,6,7271588200450097047;4956743741363890576;6942200961525709746;3909954749140967853;9858150902530457454;6132586959735218077,Promotional / Supportive,"AI-assisted review of representative comments: pos=5, neu=0, neg=0, non-evaluable=1.",Medium,Positive,code_mixing;mixed_or_low_margin;mixed_sentiment;slang,Promotional / Supportive,High,True,AI HCC review is not human gold-standard validation.
117,11,7592615238522389269;7361376104375223046;7360180483445244677;7362055774011081478;7403628634122404613;7568469146984612609;7336853531112112902;7319876546654913285;7357936868871324422;7371828429584450309;7378922254192034578,Mixed Goals,"AI-assisted review of representative comments: pos=4, neu=4, neg=1, non-evaluable=2.",Medium,Mixed,emoji_only;mixed_sentiment;question;slang;very_short,Promotional / Supportive,Medium,False,AI HCC review is not human gold-standard validation.
132,9,7471219254105703186;7385787293251240710;7527093436102918920;7364695288826757893;7589465524687766293;7320918310979568390;7543995224453186322;7499080093365682952;7381399712429851398,Neutral Engagement,"AI-assisted review of representative comments: pos=1, neu=6, neg=1, non-evaluable=1.",Medium,Neutral,descriptive;emoji_only;question;slang,Polarized / Contested,Low,False,AI HCC review is not human gold-standard validation.
134,9,INJ000303;INJ000305;INJ000412;7345770746986021637;INJ000302;INJ000304;7341832692264092421;7128263420580152090;INJ000306,Neutral Engagement,"AI-assisted review of representative comments: pos=2, neu=6, neg=0, non-evaluable=1.",Medium,Neutral,code_mixing;descriptive;potential_sarcasm;question;slang;url_or_mention_only,Promotional / Supportive,High,False,AI HCC review is not human gold-standard validation.
14,8,7421468929426703109;7249034844541715205;7448489438856741639;7285695607283729158;7422710926728446725;7286662153616589573;7509698550809428743;7428737084045722374,Neutral Engagement,"AI-assisted review of representative comments: pos=1, neu=4, neg=2, non-evaluable=1.",Medium,Neutral,emoji_only;mixed_sentiment;question;slang;very_short,Promotional / Supportive,Medium,False,AI HCC review is not human gold-standard validation.
15,10,7362095566463582982;7393693242472088326;7254964717147865862;7416754759552172805;7404473120452559622;7426268891968897798;7403272718059930374;7270471361826718469;7366220212520420101;7341843669739897605,Mixed Goals,"AI-assisted review of representative comments: pos=4, neu=5, neg=0, non-evaluable=1.",Medium,Neutral,code_mixing;question;slang;very_short,Polarized / Contested,Medium,False,AI HCC review is not human gold-standard validation.
150,10,7343193827808133893;7431492298326934280;7527019275014783762;7373924788002226950;7528720620843467537;7431097414356861702;7473820263860355858;7439937642861069064;7428444501024244485;7232076082756911899,Mixed Goals,"AI-assisted review of representative comments: pos=4, neu=5, neg=1, non-evaluable=0.",High,Neutral,descriptive;mixed_sentiment;question;slang,Polarized / Contested,Medium,False,AI HCC review is not human gold-standard validation.
