hcc_id,algorithmic_goal,semantic_review_goal,positive_ratio,neutral_ratio,negative_ratio,soft_positive_share,soft_neutral_share,soft_negative_share,evaluable_coverage,n_valid,goal_stability,goal_confidence,disagreement_reason,suggested_action
1,Mixed Goals,Neutral Engagement,0.05555555555555555,0.5,0.4444444444444444,0.17529832252811745,0.4288208185130052,0.3958808589588773,0.8571428571428571,18,0.542,Low,"Deterministic lexical reference over representative comments: pos=2, neu=6, neg=1, non-evaluable=1.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
103,Neutral Engagement,Polarized / Contested,0.0,0.6666666666666666,0.3333333333333333,0.12481054715078725,0.5254850638895989,0.3497043889596138,0.9,27,0.583,Low,"Deterministic lexical reference over representative comments: pos=3, neu=3, neg=3, non-evaluable=0.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
113,Promotional / Supportive,Insufficient Text,0.9642857142857143,0.03571428571428571,0.0,0.7424288880268406,0.14800913172908733,0.10956198024407203,1.0,28,1.0,High,"Deterministic lexical reference over representative comments: pos=1, neu=0, neg=0, non-evaluable=3.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
114,Promotional / Supportive,Insufficient Text,0.9642857142857143,0.03571428571428571,0.0,0.7023808122508305,0.16446103436414136,0.1331581533850281,1.0,28,1.0,High,"Deterministic lexical reference over representative comments: pos=2, neu=0, neg=0, non-evaluable=2.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
117,Neutral Engagement,Mixed Goals,0.058823529411764705,0.6470588235294118,0.29411764705882354,0.11878541751267697,0.49699957792211213,0.38421500456521096,0.9444444444444444,17,0.589,Low,"Deterministic lexical reference over representative comments: pos=2, neu=3, neg=2, non-evaluable=1.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
134,Polarized / Contested,Neutral Engagement,0.38461538461538464,0.23076923076923078,0.38461538461538464,0.36264861457428255,0.27036424011855165,0.36698714530716586,0.8666666666666667,13,0.564,Low,"Deterministic lexical reference over representative comments: pos=3, neu=7, neg=0, non-evaluable=1.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
14,Mixed Goals,Neutral Engagement,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.18126425481575925,0.3989888072204421,0.4197469379637985,0.7333333333333333,11,0.708,Medium,"Deterministic lexical reference over representative comments: pos=3, neu=6, neg=1, non-evaluable=1.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
15,Neutral Engagement,Mixed Goals,0.0625,0.625,0.3125,0.19137335778709752,0.44873087118754196,0.3598957710253605,0.8888888888888888,16,0.602,Medium,"Deterministic lexical reference over representative comments: pos=4, neu=5, neg=0, non-evaluable=0.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
150,Neutral Engagement,Mixed Goals,0.09375,0.5625,0.34375,0.21161554890826192,0.4303425438447852,0.35804190724695284,0.6666666666666666,32,0.493,Low,"Deterministic lexical reference over representative comments: pos=3, neu=6, neg=3, non-evaluable=0.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
16,Mixed Goals,Polarized / Contested,0.15384615384615385,0.38461538461538464,0.46153846153846156,0.17170701941388,0.45743167792118006,0.37086130266494,0.8666666666666667,13,0.626,Medium,"Deterministic lexical reference over representative comments: pos=4, neu=3, neg=3, non-evaluable=0.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
168,Promotional / Supportive,Insufficient Text,0.9130434782608695,0.08695652173913043,0.0,0.7350714803798268,0.15287943013532607,0.11204908948484713,1.0,23,1.0,High,"Deterministic lexical reference over representative comments: pos=3, neu=0, neg=0, non-evaluable=2.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
17,Neutral Engagement,Mixed Goals,0.13513513513513514,0.5675675675675675,0.2972972972972973,0.23446448960872276,0.45963721468206065,0.30589829570921656,0.8409090909090909,37,0.513,Low,"Deterministic lexical reference over representative comments: pos=4, neu=6, neg=2, non-evaluable=0.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
180,Promotional / Supportive,Insufficient Text,0.9444444444444444,0.05555555555555555,0.0,0.6945628641124447,0.1544531945869651,0.15098394130059006,1.0,18,1.0,High,"Deterministic lexical reference over representative comments: pos=2, neu=0, neg=0, non-evaluable=2.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
181,Promotional / Supportive,Insufficient Text,0.9565217391304348,0.043478260869565216,0.0,0.7770012574497195,0.10641874502873715,0.11657999752154324,1.0,23,1.0,High,"Deterministic lexical reference over representative comments: pos=3, neu=0, neg=0, non-evaluable=1.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
183,Mixed Goals,Polarized / Contested,0.21052631578947367,0.5263157894736842,0.2631578947368421,0.30539318684650085,0.36706874487164887,0.3275380682818502,0.9047619047619048,19,0.554,Low,"Deterministic lexical reference over representative comments: pos=4, neu=2, neg=3, non-evaluable=2.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
2,Neutral Engagement,Mixed Goals,0.07692307692307693,0.6153846153846154,0.3076923076923077,0.19054536174794814,0.45275382201536774,0.3567008162366841,0.7222222222222222,13,0.553,Low,"Deterministic lexical reference over representative comments: pos=3, neu=5, neg=2, non-evaluable=0.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
20,Critical / Complaint,Mixed Goals,0.0,0.2222222222222222,0.7777777777777778,0.1498767213469372,0.31355845678998867,0.5365648218630741,0.75,18,0.987,Medium,"Deterministic lexical reference over representative comments: pos=2, neu=3, neg=0, non-evaluable=4.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
204,Promotional / Supportive,Insufficient Text,0.8888888888888888,0.05555555555555555,0.05555555555555555,0.6733396449534883,0.20108723249170227,0.12557312255480949,1.0,18,1.0,High,"Deterministic lexical reference over representative comments: pos=3, neu=1, neg=0, non-evaluable=1.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
206,Promotional / Supportive,Insufficient Text,0.8695652173913043,0.043478260869565216,0.08695652173913043,0.6645058950040141,0.1749962847842989,0.1604978202116868,1.0,23,1.0,High,"Deterministic lexical reference over representative comments: pos=2, neu=2, neg=0, non-evaluable=2.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
3,Neutral Engagement,Mixed Goals,0.14285714285714285,0.6428571428571429,0.21428571428571427,0.2355539077297601,0.4261750300816568,0.33827106218858316,0.9333333333333333,14,0.756,Medium,"Deterministic lexical reference over representative comments: pos=3, neu=4, neg=2, non-evaluable=0.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
34,Polarized / Contested,Mixed Goals,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.3319146289722944,0.32442494069744193,0.34366043033026367,0.75,9,0.36,Low,"Deterministic lexical reference over representative comments: pos=4, neu=4, neg=1, non-evaluable=2.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
42,Promotional / Supportive,Insufficient Text,0.9130434782608695,0.08695652173913043,0.0,0.7763137271164755,0.12468046820246995,0.09900580468105467,1.0,23,1.0,High,"Deterministic lexical reference over representative comments: pos=3, neu=0, neg=0, non-evaluable=2.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
45,Mixed Goals,Polarized / Contested,0.1,0.55,0.35,0.16651231910588077,0.4933868072648647,0.34010087362925456,0.8333333333333334,20,0.56,Low,"Deterministic lexical reference over representative comments: pos=3, neu=3, neg=3, non-evaluable=2.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
50,Mixed Goals,Neutral Engagement,0.058823529411764705,0.5294117647058824,0.4117647058823529,0.17201528091786236,0.4893480121121175,0.3386367069700201,0.9444444444444444,17,0.689,Medium,"Deterministic lexical reference over representative comments: pos=2, neu=4, neg=1, non-evaluable=1.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
74,Mixed Goals,Neutral Engagement,0.1,0.4,0.5,0.199880194865708,0.3877958682739445,0.41232393686034746,0.8333333333333334,10,0.488,Low,"Deterministic lexical reference over representative comments: pos=0, neu=7, neg=0, non-evaluable=2.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
75,Mixed Goals,Neutral Engagement,0.23076923076923078,0.5384615384615384,0.23076923076923078,0.2661890037587275,0.4752724701492528,0.2585385260920198,0.8125,13,0.542,Low,"Deterministic lexical reference over representative comments: pos=2, neu=7, neg=0, non-evaluable=3.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
87,Mixed Goals,Promotional / Supportive,0.22727272727272727,0.36363636363636365,0.4090909090909091,0.2784593414722271,0.37733006753954135,0.34421059098823154,0.88,22,0.747,Medium,"Deterministic lexical reference over representative comments: pos=5, neu=3, neg=0, non-evaluable=4.",Requires targeted HCC-level human review before goal counts are treated as directly validated.
