hcc_id,community_size,n_accounts_with_comments,n_comments,n_valid_text_comments,positive_count,neutral_count,negative_count,uncertain_count,no_text_count,positive_ratio,neutral_ratio,negative_ratio,evaluable_coverage,soft_denominator,positive_probability_mass,neutral_probability_mass,negative_probability_mass,soft_positive_share,soft_neutral_share,soft_negative_share,dominant_sentiment,goal_orientation,goal_orientation_status,goal_confidence,goal_stability,goal_validation_status,goal_method,effective_sample_size,positive_ratio_ci_low,positive_ratio_ci_high,neutral_ratio_ci_low,neutral_ratio_ci_high,negative_ratio_ci_low,negative_ratio_ci_high,avg_sentiment_confidence,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level,mean_weighted_degree,mean_betweenness
1,3,3,21,20,3,12,5,0,1,0.15,0.6,0.25,0.9523809523809523,20,3.85170794722926,8.85504326308071,7.293248789690031,0.19258539736146302,0.4427521631540355,0.36466243948450155,Neutral,Neutral Engagement,Assigned,Medium,0.681,Provisional,hard_label_ratios_with_bootstrap_stability,20.0,0.0,0.3,0.4,0.8,0.1,0.45,0.7511374076027334,Daviena,Mixed_3plus_Brands,Daviena + Maryame + Azarine,Low,Low,3.5,0.0
2,6,6,18,17,4,8,5,0,1,0.23529411764705882,0.47058823529411764,0.29411764705882354,0.9444444444444444,17,3.343152325300619,7.3550545993618055,6.301793075337575,0.1966560191353305,0.43265027055069444,0.370693710313975,Neutral,Mixed Goals,Assigned,Medium,0.721,Provisional,hard_label_ratios_with_bootstrap_stability,17.0,0.058823529411764705,0.47058823529411764,0.23529411764705882,0.7058823529411765,0.058823529411764705,0.5294117647058824,0.7188911061976241,Maryame,Maryame,Maryame,High,Low,3.9285714285714284,1.0171019745622336e-05
3,5,5,15,15,2,10,3,0,0,0.13333333333333333,0.6666666666666666,0.2,1.0,15,2.2205195071657533,7.772702536427818,5.006777956406429,0.1480346338110502,0.5181801690951878,0.3337851970937619,Neutral,Neutral Engagement,Assigned,Medium,0.786,Provisional,hard_label_ratios_with_bootstrap_stability,15.0,0.0,0.3333333333333333,0.4,0.8666666666666667,0.0,0.4,0.7880808713589867,Maryame,Mixed_2_Brands,Maryame + The Originote,Medium,Low,3.0,0.0
5,8,8,64,56,11,33,12,0,8,0.19642857142857142,0.5892857142857143,0.21428571428571427,0.875,56,10.374526136160274,30.140389199734436,15.48508466410529,0.18525939528857632,0.5382212357095435,0.2765193690018802,Neutral,Neutral Engagement,Assigned,Medium,0.764,Provisional,hard_label_ratios_with_bootstrap_stability,56.0,0.1066964285714286,0.30357142857142855,0.4642857142857143,0.7142857142857143,0.10714285714285714,0.32142857142857145,0.768077512543958,The Originote,The Originote,The Originote,High,Low,19.046875,0.0005911905227142876
14,3,3,15,13,4,5,4,0,2,0.3076923076923077,0.38461538461538464,0.3076923076923077,0.8666666666666667,13,3.5610357946535314,5.139446444194755,4.299517761151714,0.273925830357964,0.3953420341688273,0.3307321354732088,Neutral,Polarized / Contested,Assigned,Low,0.298,Provisional,hard_label_ratios_with_bootstrap_stability,13.0,0.07692307692307693,0.6153846153846154,0.15384615384615385,0.6153846153846154,0.07692307692307693,0.5384615384615384,0.752339272899448,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low,2.5,0.0
15,6,6,18,18,3,11,4,0,0,0.16666666666666666,0.6111111111111112,0.2222222222222222,1.0,18,3.1124890973145445,8.849470927962654,6.0380399747228015,0.17291606096191914,0.49163727377570304,0.3354466652623779,Neutral,Neutral Engagement,Assigned,Medium,0.736,Provisional,hard_label_ratios_with_bootstrap_stability,18.0,0.0,0.3333333333333333,0.38750000000000007,0.8333333333333334,0.05555555555555555,0.4444444444444444,0.7471525479778615,The Originote,The Originote,The Originote,High,Low,3.839285714285714,3.6985526347717584e-06
16,5,5,15,15,4,7,4,0,0,0.26666666666666666,0.4666666666666667,0.26666666666666666,1.0,15,2.870387032644225,6.207182346736509,5.9224306206192665,0.191359135509615,0.41381215644910063,0.39482870804128445,Neutral,Mixed Goals,Assigned,Medium,0.698,Provisional,hard_label_ratios_with_bootstrap_stability,15.0,0.06666666666666667,0.5333333333333333,0.2,0.6683333333333318,0.06666666666666667,0.4666666666666667,0.7435041573733648,Daviena,Daviena,Daviena + The Originote,Medium,Low,3.0,0.0
17,11,11,44,41,12,19,10,0,3,0.2926829268292683,0.4634146341463415,0.24390243902439024,0.9318181818181818,41,10.575346485682298,18.519117635207785,11.905535879109918,0.2579352801385926,0.45168579598067765,0.2903789238807297,Neutral,Mixed Goals,Assigned,High,0.85,Provisional,hard_label_ratios_with_bootstrap_stability,41.0,0.17073170731707318,0.4146341463414634,0.3170731707317073,0.6097560975609756,0.12195121951219512,0.36585365853658536,0.7736571503088968,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,Low,4.071428571428571,2.5721752414539995e-05
18,6,6,18,16,3,6,7,0,2,0.1875,0.375,0.4375,0.8888888888888888,16,4.313708465812869,5.353292594898466,6.332998939288664,0.26960677911330433,0.33458078718115414,0.3958124337055415,Negative,Mixed Goals,Assigned,Medium,0.602,Provisional,hard_label_ratios_with_bootstrap_stability,16.0,0.0,0.375,0.125,0.625,0.1875,0.6875,0.7078197520595486,The Originote,The Originote,The Originote,High,Low,3.839285714285714,3.2362335554252888e-06
20,3,3,24,19,5,6,8,0,5,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.7916666666666666,19,3.323798575349841,6.227852079251098,9.448349345399063,0.17493676712367584,0.32778168838163674,0.4972815444946875,Negative,Mixed Goals,Assigned,Low,0.552,Provisional,hard_label_ratios_with_bootstrap_stability,19.0,0.10526315789473684,0.47368421052631576,0.15657894736842112,0.5263157894736842,0.21052631578947367,0.6842105263157895,0.6739933904228524,Daviena,Daviena,Daviena + Maryame,Medium,Low,5.023809523809524,3.236233555425289e-05
