candidate,sample_set,preprocessing_variant,log_loss,brier_score,ece,coverage
model_A,development,minimal_raw,3.664119063377898,0.8799390528529306,0.3795663131111701,1.0
model_A,holdout,minimal_raw,2.595736205384167,0.7121331136999006,0.31645071266402647,1.0
model_B,development,minimal_raw,3.109281085324376,0.6568380972614104,0.2692107776257619,1.0
model_B,holdout,minimal_raw,2.4190067878796864,0.9045057851273833,0.3834953614708154,1.0
model_C,development,minimal_raw,1.5084694879614826,0.4167445704482187,0.057791187951786865,1.0
model_C,holdout,minimal_raw,1.5804281283224164,0.7063858466679902,0.16975946484454224,1.0
ensemble_A0.20_B0.00_C0.80,development,minimal_raw,1.5873595165506853,0.4206903518792023,0.08873619540866404,1.0
ensemble_A0.20_B0.00_C0.80,holdout,minimal_raw,1.4459341709633045,0.6125216122609566,0.08201530460208484,1.0
model_A,development,social_normalized,3.6821940870974372,0.8742109712539635,0.3783460870217028,1.0
model_A,holdout,social_normalized,2.5911797213459504,0.7099031333898121,0.3110045871376593,1.0
model_B,development,social_normalized,3.1072599340604907,0.6550291521569934,0.2729134717148148,1.0
model_B,holdout,social_normalized,2.4158513390068572,0.9114509942967338,0.3900891414254748,1.0
model_C,development,social_normalized,1.5135699264245708,0.41702262801884854,0.05371888823923217,1.0
model_C,holdout,social_normalized,1.5769647325158733,0.7096807329636275,0.17665531957357886,1.0
ensemble_A0.00_B0.20_C0.80,development,social_normalized,1.5482972180033066,0.40760831148973725,0.07488167308808082,1.0
ensemble_A0.00_B0.20_C0.80,holdout,social_normalized,1.4927405530981832,0.6707963740924091,0.14657744625294172,1.0
