candidate,sample_set,preprocessing_variant,threshold,n_reference_labeled,n_evaluated,coverage,macro_f1,weighted_f1,accuracy,balanced_accuracy,mcc,negative_recall,neutral_recall,min_per_class_recall,min_per_class_f1,log_loss,brier_score,ece,uncertain_or_no_text_labels_excluded,positive_precision,positive_recall,positive_f1,positive_support,neutral_precision,neutral_f1,neutral_support,negative_precision,negative_f1,negative_support,repeat,fold,reference_label_source,modeling_mode,notes
model_A,development_cv,minimal_raw,,93,93,1.0,0.4731911709689487,0.48456271194622447,0.4838709677419355,0.47648083623693377,0.211380677026811,0.39285714285714285,0.5365853658536586,0.39285714285714285,0.43636363636363634,1.8520346230877052,0.6063172451321281,0.1380331158264726,0,0.3870967741935484,0.5,0.43636363636363634,24,0.55,0.5432098765432098,41,0.5,0.44,28,1,1,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_B,development_cv,minimal_raw,,93,93,1.0,0.5182990693359667,0.47515703326585756,0.5483870967741935,0.6241773132017036,0.4287633871547461,0.8928571428571429,0.14634146341463414,0.14634146341463414,0.2553191489361702,2.6075058688960127,0.652344043910955,0.2512252157249502,0,0.5555555555555556,0.8333333333333334,0.6666666666666666,24,1.0,0.2553191489361702,41,0.49019607843137253,0.6329113924050633,28,1,1,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
ensemble_transformer_A0.50_B0.50,development_cv,minimal_raw,,93,93,1.0,0.5259754738015608,0.5036933146330062,0.5376344086021505,0.595189701897019,0.3840248013990611,0.75,0.24390243902439024,0.24390243902439024,0.38461538461538464,1.8902928327918684,0.5382062360930173,0.14104937042099705,0,0.4634146341463415,0.7916666666666666,0.5846153846153846,24,0.9090909090909091,0.38461538461538464,41,0.5121951219512195,0.6086956521739131,28,1,1,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_C_pseudo_label_experiment,development_cv,minimal_raw,,93,93,1.0,0.6499838969404187,0.6677533634616384,0.6774193548387096,0.6476480836236934,0.49728668212866833,0.4642857142857143,0.8536585365853658,0.4642857142857143,0.52,1.0606003639712118,0.4149118634648318,0.10650073018088838,0,0.6818181818181818,0.625,0.6521739130434783,24,0.7142857142857143,0.7777777777777778,41,0.5909090909090909,0.52,28,1,1,human_adjudicated_label,HUMAN_VALIDATED,Model C is trained inside each fold on human_adjudicated_label.
model_A,development_cv,minimal_raw,,92,92,1.0,0.4939949896846449,0.5062612924307077,0.5108695652173914,0.5115260314093825,0.2636197440585009,0.32142857142857145,0.5609756097560976,0.32142857142857145,0.375,1.9376225554359063,0.6461342681315505,0.1424513366375402,0,0.42857142857142855,0.6521739130434783,0.5172413793103449,23,0.6216216216216216,0.5897435897435898,41,0.45,0.375,28,1,2,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_B,development_cv,minimal_raw,,92,92,1.0,0.4268986728664148,0.38590549701173826,0.44565217391304346,0.5183936777255971,0.25428843936590184,0.6071428571428571,0.12195121951219512,0.12195121951219512,0.20833333333333334,2.4975527200222403,0.7780078813680253,0.34917725001772154,0,0.48717948717948717,0.8260869565217391,0.6129032258064516,23,0.7142857142857143,0.20833333333333334,41,0.3695652173913043,0.4594594594594595,28,1,2,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
ensemble_transformer_A0.50_B0.50,development_cv,minimal_raw,,92,92,1.0,0.4525496553106561,0.43809176280947293,0.45652173913043476,0.5050623642882391,0.2411963867996943,0.4642857142857143,0.2682926829268293,0.2682926829268293,0.38596491228070173,1.9163711828016394,0.6263534880431442,0.18322777656681283,0,0.4186046511627907,0.782608695652174,0.5454545454545454,23,0.6875,0.38596491228070173,41,0.3939393939393939,0.4262295081967213,28,1,2,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_C_pseudo_label_experiment,development_cv,minimal_raw,,92,92,1.0,0.7362007168458783,0.7489948574100047,0.75,0.7368706761601778,0.6167451167238727,0.8214285714285714,0.7804878048780488,0.6086956521739131,0.6666666666666666,1.1659309888876626,0.3769637123503503,0.08505469206706974,0,0.7368421052631579,0.6086956521739131,0.6666666666666666,23,0.8205128205128205,0.8,41,0.6764705882352942,0.7419354838709677,28,1,2,human_adjudicated_label,HUMAN_VALIDATED,Model C is trained inside each fold on human_adjudicated_label.
model_A,development_cv,minimal_raw,,92,92,1.0,0.4590567804816102,0.4670127148911853,0.4673913043478261,0.4585163864061001,0.1739375227730028,0.42857142857142855,0.5121951219512195,0.42857142857142855,0.43478260869565216,1.976105706648311,0.641778944281197,0.17994454418597733,0,0.43478260869565216,0.43478260869565216,0.43478260869565216,23,0.5,0.5060240963855421,41,0.4444444444444444,0.43636363636363634,28,1,3,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_B,development_cv,minimal_raw,,92,92,1.0,0.5013023633713288,0.4820736721036571,0.5108695652173914,0.5631848709791446,0.34029415959508713,0.75,0.24390243902439024,0.24390243902439024,0.38461538461538464,2.4358906904007114,0.7066665821742035,0.2848565499375211,0,0.45714285714285713,0.6956521739130435,0.5517241379310345,23,0.9090909090909091,0.38461538461538464,41,0.45652173913043476,0.5675675675675675,28,1,3,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
ensemble_transformer_A0.50_B0.50,development_cv,minimal_raw,,92,92,1.0,0.5737650296972331,0.5649249853560834,0.5760869565217391,0.618328031106398,0.4140993434255301,0.75,0.36585365853658536,0.36585365853658536,0.5084745762711864,1.8661362774882375,0.5704704458049082,0.08050617164866782,0,0.4594594594594595,0.7391304347826086,0.5666666666666667,23,0.8333333333333334,0.5084745762711864,41,0.5675675675675675,0.6461538461538462,28,1,3,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_C_pseudo_label_experiment,development_cv,minimal_raw,,92,92,1.0,0.634610472541507,0.6560553056804931,0.6630434782608695,0.6340832197141847,0.47376179690266657,0.4642857142857143,0.8292682926829268,0.4642857142857143,0.5,1.077944762302096,0.445845103573218,0.07366508020465626,0,0.6363636363636364,0.6086956521739131,0.6222222222222222,23,0.7391304347826086,0.7816091954022989,41,0.5416666666666666,0.5,28,1,3,human_adjudicated_label,HUMAN_VALIDATED,Model C is trained inside each fold on human_adjudicated_label.
