candidate,sample_set,preprocessing_variant,threshold,n_reference_labeled,n_evaluated,coverage,macro_f1,weighted_f1,accuracy,balanced_accuracy,mcc,negative_recall,neutral_recall,min_per_class_recall,min_per_class_f1,log_loss,brier_score,ece,uncertain_or_no_text_labels_excluded,positive_precision,positive_recall,positive_f1,positive_support,neutral_precision,neutral_f1,neutral_support,negative_precision,negative_f1,negative_support,selected_threshold
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.34,277,277,1.0,0.7435448942195569,0.7539055382056264,0.7509025270758123,0.7468060394889663,0.6218112636457267,0.7619047619047619,0.7642276422764228,0.7142857142857143,0.6956521739130435,1.2128643765067688,0.4066043014506128,0.14477079919525057,23,0.7352941176470589,0.7142857142857143,0.7246376811594203,70,0.8623853211009175,0.8103448275862069,123,0.64,0.6956521739130435,84,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.35,277,276,0.9963898916967509,0.7429951690821256,0.7529720646922916,0.75,0.7461618527192297,0.6207465242612553,0.7619047619047619,0.7622950819672131,0.7142857142857143,0.6956521739130435,1.213425690125859,0.4057583539277244,0.14293000359046926,23,0.7352941176470589,0.7142857142857143,0.7246376811594203,70,0.8611111111111112,0.808695652173913,122,0.64,0.6956521739130435,84,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.36,277,275,0.9927797833935018,0.7460254037952505,0.755674199581489,0.7527272727272727,0.7492217112007751,0.6250392037539968,0.7710843373493976,0.7622950819672131,0.7142857142857143,0.6994535519125683,1.2140544734319396,0.404816003768676,0.14473438311907524,23,0.746268656716418,0.7142857142857143,0.7299270072992701,70,0.8611111111111112,0.808695652173913,122,0.64,0.6994535519125683,83,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.37,277,274,0.9891696750902527,0.7454660343571624,0.7547396281996702,0.7518248175182481,0.7485668767158362,0.6239750095007819,0.7710843373493976,0.7603305785123967,0.7142857142857143,0.6994535519125683,1.2148018040472703,0.4040687236964813,0.1429431916952774,23,0.746268656716418,0.7142857142857143,0.7299270072992701,70,0.8598130841121495,0.8070175438596491,121,0.64,0.6994535519125683,83,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.38,277,270,0.9747292418772563,0.7494410854506007,0.7585386357712653,0.7555555555555555,0.753322753223939,0.6292111284509643,0.775,0.7603305785123967,0.7246376811594203,0.7005649717514124,1.2174094767162225,0.400242415500448,0.1432178318217292,23,0.7575757575757576,0.7246376811594203,0.7407407407407407,69,0.8598130841121495,0.8070175438596491,121,0.6391752577319587,0.7005649717514124,80,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.39,277,269,0.9711191335740073,0.7483003805810823,0.7577491436149233,0.7546468401486989,0.7523733861353313,0.6277540567370499,0.7721518987341772,0.7603305785123967,0.7246376811594203,0.6971428571428572,1.2183497254255722,0.399599985589879,0.14147528859259934,23,0.7575757575757576,0.7246376811594203,0.7407407407407407,69,0.8598130841121495,0.8070175438596491,121,0.6354166666666666,0.6971428571428572,79,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.4,277,266,0.9602888086642599,0.7481821799976474,0.758491592879259,0.7556390977443609,0.751745491949535,0.6280995153361593,0.7721518987341772,0.7666666666666667,0.7164179104477612,0.7011494252873564,1.2168339758945792,0.3965997894727016,0.14002100553329386,23,0.75,0.7164179104477612,0.732824427480916,67,0.8598130841121495,0.8105726872246696,120,0.6421052631578947,0.7011494252873564,79,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.41,277,260,0.9386281588447654,0.7567201574773875,0.7676812045768098,0.7653846153846153,0.7585850416524632,0.6417919000654255,0.7662337662337663,0.7931034482758621,0.7164179104477612,0.7065868263473054,1.2152318800809863,0.3893335989866699,0.14491349638138998,23,0.7619047619047619,0.7164179104477612,0.7384615384615385,67,0.8598130841121495,0.8251121076233184,116,0.6555555555555556,0.7065868263473054,77,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.42,277,256,0.924187725631769,0.7570013217501327,0.767860219274958,0.765625,0.7591797218799506,0.641441151785803,0.7631578947368421,0.7913043478260869,0.7230769230769231,0.7073170731707317,1.2165064481886534,0.38595693070236636,0.14194821588878032,23,0.7580645161290323,0.7230769230769231,0.7401574803149606,65,0.8584905660377359,0.8235294117647058,115,0.6590909090909091,0.7073170731707317,76,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.43,277,252,0.9097472924187726,0.7658474900912177,0.7761919572023686,0.7738095238095238,0.7677736279506191,0.6549367794475548,0.7837837837837838,0.7964601769911505,0.7230769230769231,0.7160493827160493,1.2172396755265307,0.3813202043033981,0.14699837305786714,23,0.7833333333333333,0.7230769230769231,0.752,65,0.8653846153846154,0.8294930875576036,113,0.6590909090909091,0.7160493827160493,74,True
