group_type,group_name,token,count,rank
overall,All,dok,6103,1
overall,All,ada,2364,2
overall,All,mau,2059,3
overall,All,retinol,2028,4
overall,All,gak,1669,5
overall,All,sama,1594,6
overall,All,apa,1424,7
overall,All,cek,1336,8
overall,All,cream,1311,9
overall,All,boleh,1274,10
overall,All,buat,1257,11
overall,All,kalo,1240,12
overall,All,beli,1211,13
overall,All,serum,1202,14
overall,All,baru,1093,15
overall,All,aman,1074,16
overall,All,kulit,1029,17
overall,All,cocok,1019,18
overall,All,glow,944,19
overall,All,tapi,909,20
overall,All,klo,857,21
overall,All,pke,825,22
overall,All,lagi,777,23
overall,All,udh,766,24
overall,All,bagus,746,25
overall,All,masih,746,26
overall,All,tolong,734,27
overall,All,muka,724,28
overall,All,jerawat,712,29
overall,All,kalau,653,30
overall,All,okypratamaa,568,31
overall,All,minta,563,32
overall,All,hari,551,33
overall,All,soalnya,548,34
overall,All,maaf,548,35
overall,All,dokter,542,36
overall,All,mana,513,37
overall,All,kedua,508,38
overall,All,malam,497,39
overall,All,malah,488,40
overall,All,berapa,481,41
overall,All,dulu,472,42
overall,All,kan,470,43
overall,All,gimana,465,44
overall,All,paket,448,45
overall,All,bener,429,46
overall,All,skin,423,47
overall,All,harga,417,48
overall,All,moist,408,49
overall,All,krim,407,50
overall,All,tau,406,51
overall,All,beauty,402,52
overall,All,owner,388,53
overall,All,pakek,368,54
overall,All,lebih,360,55
overall,All,glowing,357,56
overall,All,banyak,351,57
overall,All,siang,349,58
overall,All,toner,346,59
overall,All,brp,345,60
overall,All,pagi,343,61
overall,All,pernah,341,62
overall,All,acne,339,63
overall,All,the,337,64
overall,All,kaya,336,65
overall,All,cara,335,66
overall,All,takut,334,67
overall,All,day,334,68
overall,All,flek,329,69
overall,All,emang,323,70
overall,All,moisturizer,322,71
overall,All,alhamdulillah,319,72
overall,All,dia,318,73
overall,All,pas,316,74
overall,All,terus,313,75
overall,All,umur,310,76
overall,All,vit,309,77
overall,All,bikin,307,78
overall,All,langsung,306,79
overall,All,gitu,305,80
overall,All,dipake,303,81
overall,All,jual,302,82
overall,All,lain,295,83
overall,All,tpi,294,84
overall,All,seruni,292,85
overall,All,make,289,86
overall,All,ngga,286,87
overall,All,yaa,285,88
overall,All,gantiin,283,89
overall,All,tiap,282,90
overall,All,pengen,280,91
overall,All,punya,279,92
overall,All,night,275,93
overall,All,doktif,275,94
overall,All,semangat,273,95
overall,All,abis,271,96
overall,All,mlm,271,97
overall,All,kali,271,98
overall,All,cuma,261,99
overall,All,habis,259,100
sentiment,Positive,dok,726,1
sentiment,Positive,bagus,558,2
sentiment,Positive,aman,534,3
sentiment,Positive,cocok,426,4
sentiment,Positive,sama,366,5
sentiment,Positive,buat,320,6
sentiment,Positive,gak,319,7
sentiment,Positive,kulit,318,8
sentiment,Positive,ada,295,9
sentiment,Positive,retinol,281,10
sentiment,Positive,glow,255,11
sentiment,Positive,bener,252,12
sentiment,Positive,semangat,237,13
sentiment,Positive,🥰🥰🥰,234,14
sentiment,Positive,alhamdulillah,232,15
sentiment,Positive,glowing,224,16
sentiment,Positive,tapi,218,17
sentiment,Positive,mau,187,18
sentiment,Positive,emang,180,19
sentiment,Positive,baru,175,20
sentiment,Positive,lebih,170,21
sentiment,Positive,cream,162,22
sentiment,Positive,udh,161,23
sentiment,Positive,semoga,160,24
sentiment,Positive,muka,158,25
sentiment,Positive,owner,155,26
sentiment,Positive,lagi,147,27
sentiment,Positive,beli,145,28
sentiment,Positive,kalo,143,29
sentiment,Positive,bikin,139,30
sentiment,Positive,😂😂😂,131,31
sentiment,Positive,serum,128,32
sentiment,Positive,hasilnya,127,33
sentiment,Positive,pke,124,34
sentiment,Positive,murah,124,35
sentiment,Positive,worth,123,36
sentiment,Positive,😁😁😁,119,37
sentiment,Positive,seruni,117,38
sentiment,Positive,niacinamide,112,39
sentiment,Positive,jerawat,107,40
sentiment,Positive,setuju,106,41
sentiment,Positive,😳😳😳,102,42
sentiment,Positive,kaya,101,43
sentiment,Positive,harga,101,44
sentiment,Positive,hanasui,98,45
sentiment,Positive,hari,97,46
sentiment,Positive,skin,96,47
sentiment,Positive,klo,96,48
sentiment,Positive,beneran,92,49
sentiment,Positive,makasih,91,50
sentiment,Positive,kan,90,51
sentiment,Positive,pernah,90,52
sentiment,Positive,apa,89,53
sentiment,Positive,skincaretips,89,54
sentiment,Positive,selalu,88,55
sentiment,Positive,banyak,86,56
sentiment,Positive,enak,86,57
sentiment,Positive,soalnya,85,58
sentiment,Positive,penting,85,59
sentiment,Positive,terus,83,60
sentiment,Positive,pengen,83,61
sentiment,Positive,cerah,81,62
sentiment,Positive,kalau,81,63
sentiment,Positive,dulu,79,64
sentiment,Positive,suka,79,65
sentiment,Positive,kulitku,78,66
sentiment,Positive,bumil,78,67
sentiment,Positive,cantik,76,68
sentiment,Positive,the,74,69
sentiment,Positive,untung,72,70
sentiment,Positive,mana,71,71
sentiment,Positive,dokter,71,72
sentiment,Positive,wajib,69,73
sentiment,Positive,semua,68,74
sentiment,Positive,sehat,68,75
sentiment,Positive,baik,64,76
sentiment,Positive,jujur,64,77
sentiment,Positive,pasti,64,78
sentiment,Positive,busui,64,79
sentiment,Positive,gloglowing,63,80
sentiment,Positive,dia,62,81
sentiment,Positive,wajah,62,82
sentiment,Positive,sekali,61,83
sentiment,Positive,sensitif,60,84
sentiment,Positive,karna,60,85
sentiment,Positive,paket,60,86
sentiment,Positive,ngerasain,60,87
sentiment,Positive,tpi,59,88
sentiment,Positive,hasil,58,89
sentiment,Positive,dah,57,90
sentiment,Positive,tiap,57,91
sentiment,Positive,doktif,57,92
sentiment,Positive,malah,56,93
sentiment,Positive,pas,56,94
sentiment,Positive,orang,56,95
sentiment,Positive,emg,55,96
sentiment,Positive,sekarang,55,97
sentiment,Positive,harganya,55,98
sentiment,Positive,percaya,55,99
sentiment,Positive,allah,55,100
sentiment,Neutral,dok,5002,1
sentiment,Neutral,retinol,1522,2
sentiment,Neutral,ada,1414,3
sentiment,Neutral,mau,1397,4
sentiment,Neutral,cek,1254,5
sentiment,Neutral,boleh,1169,6
sentiment,Neutral,cream,1005,7
sentiment,Neutral,serum,983,8
sentiment,Neutral,apa,850,9
sentiment,Neutral,sama,819,10
sentiment,Neutral,kalo,817,11
sentiment,Neutral,gak,749,12
sentiment,Neutral,tolong,675,13
sentiment,Neutral,beli,664,14
sentiment,Neutral,buat,651,15
sentiment,Neutral,glow,609,16
sentiment,Neutral,baru,608,17
sentiment,Neutral,pke,559,18
sentiment,Neutral,klo,536,19
sentiment,Neutral,okypratamaa,526,20
sentiment,Neutral,masih,497,21
sentiment,Neutral,kedua,462,22
sentiment,Neutral,kulit,457,23
sentiment,Neutral,aman,455,24
sentiment,Neutral,berapa,423,25
sentiment,Neutral,malam,410,26
sentiment,Neutral,kalau,403,27
sentiment,Neutral,hari,379,28
sentiment,Neutral,beauty,354,29
sentiment,Neutral,soalnya,349,30
sentiment,Neutral,dokter,347,31
sentiment,Neutral,udh,341,32
sentiment,Neutral,lagi,332,33
sentiment,Neutral,moist,331,34
sentiment,Neutral,jerawat,324,35
sentiment,Neutral,brp,322,36
sentiment,Neutral,paket,318,37
sentiment,Neutral,toner,297,38
sentiment,Neutral,skin,296,39
sentiment,Neutral,krim,293,40
sentiment,Neutral,siang,288,41
sentiment,Neutral,pagi,283,42
sentiment,Neutral,tapi,281,43
sentiment,Neutral,moisturizer,277,44
sentiment,Neutral,cara,277,45
sentiment,Neutral,mana,274,46
sentiment,Neutral,gimana,274,47
sentiment,Neutral,dulu,273,48
sentiment,Neutral,umur,267,49
sentiment,Neutral,cocok,261,50
sentiment,Neutral,gantiin,252,51
sentiment,Neutral,day,251,52
sentiment,Neutral,acne,247,53
sentiment,Neutral,dipake,245,54
sentiment,Neutral,vit,238,55
sentiment,Neutral,harga,237,56
sentiment,Neutral,the,234,57
