group,term,count
HCC,niacinamide,104
HCC,cocok,87
HCC,buat,79
HCC,boleh,69
HCC,tapi,53
HCC,apa,51
HCC,bagus,50
HCC,baru,46
HCC,hasilnya,45
HCC,enak,43
HCC,bener,40
HCC,jerawat,38
HCC,worth,38
HCC,emang,37
HCC,kak?,34
HCC,bikin,34
HCC,hari,34
HCC,pemakaian,33
HCC,lagi,33
HCC,tiap,32
HCC,harga,31
HCC,klo,27
HCC,sekali,27
HCC,seneng,27
HCC,moist,26
HCC,pke,26
HCC,wah,26
HCC,kulitku,24
HCC,nemu,24
HCC,satu,23
Non-HCC,dok,6201
Non-HCC,cek,1340
Non-HCC,apa,1318
Non-HCC,boleh,1183
Non-HCC,buat,1178
Non-HCC,aman,1080
Non-HCC,baru,1054
Non-HCC,cocok,1015
Non-HCC,glow,950
Non-HCC,tapi,859
Non-HCC,klo,830
Non-HCC,pke,799
Non-HCC,lagi,775
Non-HCC,udh,748
Non-HCC,review,740
Non-HCC,tolong,734
Non-HCC,bagus,713
Non-HCC,jerawat,677
Non-HCC,kak?,593
Non-HCC,okypratamaa,561
Non-HCC,minta,557
Non-HCC,dokter,555
Non-HCC,maaf,552
Non-HCC,soalnya,546
Non-HCC,kedua,501
Non-HCC,hari,481
Non-HCC,malah,480
Non-HCC,malam,480
Non-HCC,mana,475
Non-HCC,dulu,468
HCC_Positive,niacinamide,100
HCC_Positive,cocok,71
HCC_Positive,bagus,44
HCC_Positive,hasilnya,44
HCC_Positive,enak,42
HCC_Positive,worth,38
HCC_Positive,buat,36
HCC_Positive,emang,36
HCC_Positive,bener,35
HCC_Positive,tapi,32
HCC_Positive,pemakaian,29
HCC_Positive,bikin,28
HCC_Positive,seneng,27
HCC_Positive,harga,25
HCC_Positive,kulitku,24
HCC_Positive,sekali,24
HCC_Positive,nemu,24
HCC_Positive,baru,23
HCC_Positive,tiap,21
HCC_Positive,hari,21
HCC_Positive,segitu,21
HCC_Positive,lumayan,21
HCC_Positive,puas,21
HCC_Positive,ngerasain,20
HCC_Positive,penting,19
HCC_Positive,lagi,19
HCC_Positive,satu,19
HCC_Positive,wangi,18
HCC_Positive,teksturnya,18
HCC_Positive,salah,18
HCC_Neutral,boleh,62
HCC_Neutral,kak?,31
HCC_Neutral,apa,29
HCC_Neutral,buat,27
HCC_Neutral,pke,16
HCC_Neutral,cara,16
HCC_Neutral,moist,15
HCC_Neutral,vit,14
HCC_Neutral,klo,14
HCC_Neutral,jerawat,14
HCC_Neutral,pagi,14
HCC_Neutral,dok,13
HCC_Neutral,umur,12
HCC_Neutral,hyalu,11
HCC_Neutral,acne,11
HCC_Neutral,baru,11
HCC_Neutral,pemula,9
HCC_Neutral,trs,9
HCC_Neutral,terus,9
HCC_Neutral,pakek,9
HCC_Neutral,lagi,9
HCC_Neutral,berapa,9
HCC_Neutral,hari,9
HCC_Neutral,siang,9
HCC_Neutral,pink,8
HCC_Neutral,lain,8
HCC_Neutral,ga?,8
HCC_Neutral,glow,8
HCC_Neutral,paket,8
HCC_Neutral,brp,8
HCC_Negative,apa,21
HCC_Negative,jerawat,19
HCC_Negative,buat,16
HCC_Negative,tapi,15
HCC_Negative,baru,12
HCC_Negative,wah,12
HCC_Negative,bruntusan,10
HCC_Negative,mana,10
HCC_Negative,moist,9
HCC_Negative,klo,9
HCC_Negative,kusam,9
HCC_Negative,pakek,9
HCC_Negative,lama,9
HCC_Negative,cocok,9
HCC_Negative,udh,8
HCC_Negative,tpi,8
HCC_Negative,malah,8
HCC_Negative,kering,7
HCC_Negative,takut,7
HCC_Negative,terus,7
HCC_Negative,nyari,7
HCC_Negative,kayak,7
HCC_Negative,gini,7
HCC_Negative,ya?,6
HCC_Negative,bekas,6
HCC_Negative,berminyak,6
HCC_Negative,kenapa,6
HCC_Negative,kusem,6
HCC_Negative,flek,6
HCC_Negative,padahal,6
