actor_type_primary,weekday_name_id,weekday_number,hour_local,n_comments,n_unique_actors,n_unique_videos,comment_share_within_actor_type
Individual Actor,Senin,1,0,8,2,2,0.005780346820809248
Individual Actor,Senin,1,1,1,1,1,0.000722543352601156
Individual Actor,Senin,1,2,1,1,1,0.000722543352601156
Individual Actor,Senin,1,3,1,1,1,0.000722543352601156
Individual Actor,Senin,1,4,10,1,1,0.0072254335260115606
Individual Actor,Senin,1,5,3,3,3,0.002167630057803468
Individual Actor,Senin,1,6,1,1,1,0.000722543352601156
Individual Actor,Senin,1,7,12,4,4,0.008670520231213872
Individual Actor,Senin,1,8,8,5,5,0.005780346820809248
Individual Actor,Senin,1,9,10,5,5,0.0072254335260115606
Individual Actor,Senin,1,10,9,4,4,0.006502890173410405
Individual Actor,Senin,1,11,11,3,3,0.007947976878612716
Individual Actor,Senin,1,12,9,2,2,0.006502890173410405
Individual Actor,Senin,1,13,11,10,10,0.007947976878612716
Individual Actor,Senin,1,14,10,5,5,0.0072254335260115606
Individual Actor,Senin,1,15,6,3,3,0.004335260115606936
Individual Actor,Senin,1,16,4,4,4,0.002890173410404624
Individual Actor,Senin,1,17,10,5,6,0.0072254335260115606
Individual Actor,Senin,1,18,14,9,9,0.010115606936416185
Individual Actor,Senin,1,19,15,4,4,0.01083815028901734
Individual Actor,Senin,1,20,10,7,7,0.0072254335260115606
Individual Actor,Senin,1,21,10,7,7,0.0072254335260115606
Individual Actor,Senin,1,22,8,4,4,0.005780346820809248
Individual Actor,Senin,1,23,1,1,1,0.000722543352601156
Individual Actor,Selasa,2,0,2,2,2,0.001445086705202312
Individual Actor,Selasa,2,1,0,0,0,0.0
Individual Actor,Selasa,2,2,0,0,0,0.0
Individual Actor,Selasa,2,3,0,0,0,0.0
Individual Actor,Selasa,2,4,0,0,0,0.0
Individual Actor,Selasa,2,5,4,2,2,0.002890173410404624
Individual Actor,Selasa,2,6,7,4,4,0.0050578034682080926
Individual Actor,Selasa,2,7,8,4,4,0.005780346820809248
Individual Actor,Selasa,2,8,7,5,5,0.0050578034682080926
Individual Actor,Selasa,2,9,19,6,6,0.013728323699421965
Individual Actor,Selasa,2,10,6,4,4,0.004335260115606936
Individual Actor,Selasa,2,11,12,5,5,0.008670520231213872
Individual Actor,Selasa,2,12,5,4,4,0.0036127167630057803
Individual Actor,Selasa,2,13,14,5,5,0.010115606936416185
Individual Actor,Selasa,2,14,19,6,6,0.013728323699421965
Individual Actor,Selasa,2,15,16,6,6,0.011560693641618497
Individual Actor,Selasa,2,16,28,9,9,0.02023121387283237
Individual Actor,Selasa,2,17,10,7,7,0.0072254335260115606
Individual Actor,Selasa,2,18,6,4,4,0.004335260115606936
Individual Actor,Selasa,2,19,14,7,7,0.010115606936416185
Individual Actor,Selasa,2,20,21,10,10,0.015173410404624277
Individual Actor,Selasa,2,21,11,6,6,0.007947976878612716
Individual Actor,Selasa,2,22,5,4,4,0.0036127167630057803
Individual Actor,Selasa,2,23,8,4,4,0.005780346820809248
Individual Actor,Rabu,3,0,1,1,1,0.000722543352601156
Individual Actor,Rabu,3,1,1,1,1,0.000722543352601156
Individual Actor,Rabu,3,2,0,0,0,0.0
Individual Actor,Rabu,3,3,0,0,0,0.0
Individual Actor,Rabu,3,4,4,3,3,0.002890173410404624
Individual Actor,Rabu,3,5,2,1,1,0.001445086705202312
Individual Actor,Rabu,3,6,2,2,2,0.001445086705202312
Individual Actor,Rabu,3,7,9,5,5,0.006502890173410405
Individual Actor,Rabu,3,8,4,2,2,0.002890173410404624
Individual Actor,Rabu,3,9,23,5,5,0.016618497109826588
Individual Actor,Rabu,3,10,9,7,7,0.006502890173410405
Individual Actor,Rabu,3,11,9,6,6,0.006502890173410405
Individual Actor,Rabu,3,12,7,3,3,0.0050578034682080926
