actor_type_primary,weekday_number,weekday_name_id,n_comments,n_valid_timestamp_comments,comment_share_within_actor_type,n_unique_actors,n_unique_videos,n_active_hcc,comments_per_active_video,comments_per_active_actor,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio
Individual Actor,1,Senin,183,183,0.13222543352601157,25,31,0,5.903225806451613,7.32,42,120,21,0.22950819672131148,0.6557377049180327,0.11475409836065574
Individual Actor,2,Selasa,222,222,0.16040462427745664,26,29,0,7.655172413793103,8.538461538461538,41,145,36,0.18468468468468469,0.6531531531531531,0.16216216216216217
Individual Actor,3,Rabu,182,182,0.1315028901734104,27,28,0,6.5,6.7407407407407405,49,110,23,0.2692307692307692,0.6043956043956044,0.12637362637362637
Individual Actor,4,Kamis,207,207,0.1495664739884393,29,32,0,6.46875,7.137931034482759,60,121,26,0.2898550724637681,0.5845410628019324,0.12560386473429952
Individual Actor,5,Jumat,203,203,0.14667630057803469,21,24,0,8.458333333333334,9.666666666666666,65,111,27,0.32019704433497537,0.5467980295566502,0.1330049261083744
Individual Actor,6,Sabtu,198,198,0.1430635838150289,22,25,0,7.92,9.0,45,133,20,0.22727272727272727,0.6717171717171717,0.10101010101010101
Individual Actor,7,Minggu,189,189,0.1365606936416185,26,27,0,7.0,7.269230769230769,50,112,27,0.26455026455026454,0.5925925925925926,0.14285714285714285
Community Actor,1,Senin,128,128,0.13473684210526315,84,25,16,5.12,1.5238095238095237,58,54,16,0.453125,0.421875,0.125
Community Actor,2,Selasa,162,162,0.1705263157894737,118,30,27,5.4,1.3728813559322033,69,69,24,0.42592592592592593,0.42592592592592593,0.14814814814814814
Community Actor,3,Rabu,142,142,0.14947368421052631,95,35,21,4.057142857142857,1.4947368421052631,58,63,21,0.4084507042253521,0.44366197183098594,0.14788732394366197
Community Actor,4,Kamis,177,177,0.1863157894736842,131,33,28,5.363636363636363,1.3511450381679388,78,80,19,0.4406779661016949,0.4519774011299435,0.10734463276836158
Community Actor,5,Jumat,109,109,0.11473684210526315,84,25,19,4.36,1.2976190476190477,33,53,23,0.30275229357798167,0.48623853211009177,0.21100917431192662
Community Actor,6,Sabtu,145,145,0.15263157894736842,98,37,20,3.918918918918919,1.4795918367346939,60,60,25,0.41379310344827586,0.41379310344827586,0.1724137931034483
Community Actor,7,Minggu,87,87,0.09157894736842105,67,26,18,3.3461538461538463,1.2985074626865671,37,30,20,0.42528735632183906,0.3448275862068966,0.22988505747126436
Mass Actor,1,Senin,3630,3630,0.11540662554841992,3230,55,0,66.0,1.1238390092879258,1001,1781,825,0.27575757575757576,0.490633608815427,0.22727272727272727
Mass Actor,2,Selasa,6220,6220,0.19774909391492337,5713,55,0,113.0909090909091,1.0887449676177139,1421,3978,820,0.2284565916398714,0.6395498392282958,0.13183279742765272
Mass Actor,3,Rabu,4763,4763,0.15142748140141157,4278,55,0,86.6,1.1133707339878447,1184,2685,894,0.2485828259500315,0.5637203443208062,0.1876968297291623
Mass Actor,4,Kamis,5629,5629,0.17895975074712278,5091,55,0,102.34545454545454,1.1056766843449224,1436,2765,1428,0.2551074791259549,0.4912062533309646,0.2536862675430805
Mass Actor,5,Jumat,3882,3882,0.1234183251732689,3447,55,0,70.58181818181818,1.1261966927763272,1073,1711,1098,0.2764039155074704,0.4407521895929933,0.2828438948995363
Mass Actor,6,Sabtu,3850,3850,0.1224009664907484,3423,54,0,71.29629629629629,1.1247443762781186,1201,1723,923,0.311948051948052,0.44753246753246756,0.23974025974025975
Mass Actor,7,Minggu,3480,3480,0.11063775672410504,3127,54,0,64.44444444444444,1.1128877518388232,959,1641,880,0.27557471264367817,0.47155172413793106,0.25287356321839083
