weekday_name_id,weekday_number,hour_local,n_comments,n_unique_community_actors,n_unique_videos,n_active_hcc,comment_share
Senin,1,0,3,3,3,2,0.003157894736842105
Senin,1,1,0,0,0,0,0.0
Senin,1,2,0,0,0,0,0.0
Senin,1,3,0,0,0,0,0.0
Senin,1,4,0,0,0,0,0.0
Senin,1,5,4,4,1,1,0.004210526315789474
Senin,1,6,7,7,1,1,0.007368421052631579
Senin,1,7,13,13,3,3,0.01368421052631579
Senin,1,8,8,8,3,2,0.008421052631578947
Senin,1,9,0,0,0,0,0.0
Senin,1,10,15,10,3,3,0.015789473684210527
Senin,1,11,2,2,2,2,0.002105263157894737
Senin,1,12,4,4,2,2,0.004210526315789474
Senin,1,13,5,5,1,1,0.005263157894736842
Senin,1,14,4,4,2,2,0.004210526315789474
Senin,1,15,7,7,3,3,0.007368421052631579
Senin,1,16,10,6,2,2,0.010526315789473684
Senin,1,17,3,3,3,2,0.003157894736842105
Senin,1,18,4,4,2,2,0.004210526315789474
Senin,1,19,5,5,4,3,0.005263157894736842
Senin,1,20,3,3,2,2,0.003157894736842105
Senin,1,21,7,7,4,3,0.007368421052631579
Senin,1,22,9,9,3,3,0.009473684210526316
Senin,1,23,15,12,3,3,0.015789473684210527
Selasa,2,0,1,1,1,1,0.0010526315789473684
Selasa,2,1,0,0,0,0,0.0
Selasa,2,2,2,2,2,2,0.002105263157894737
Selasa,2,3,5,5,1,1,0.005263157894736842
Selasa,2,4,6,4,1,1,0.00631578947368421
Selasa,2,5,7,6,3,3,0.007368421052631579
Selasa,2,6,7,7,2,2,0.007368421052631579
Selasa,2,7,9,5,1,1,0.009473684210526316
Selasa,2,8,5,5,2,2,0.005263157894736842
Selasa,2,9,5,5,2,2,0.005263157894736842
Selasa,2,10,11,11,6,4,0.011578947368421053
Selasa,2,11,14,10,3,4,0.014736842105263158
Selasa,2,12,3,3,3,3,0.003157894736842105
Selasa,2,13,10,10,4,4,0.010526315789473684
Selasa,2,14,6,5,6,4,0.00631578947368421
Selasa,2,15,2,2,2,1,0.002105263157894737
Selasa,2,16,6,6,3,3,0.00631578947368421
Selasa,2,17,17,14,4,4,0.017894736842105262
Selasa,2,18,7,7,1,2,0.007368421052631579
Selasa,2,19,0,0,0,0,0.0
Selasa,2,20,22,17,5,5,0.023157894736842106
Selasa,2,21,3,3,3,2,0.003157894736842105
Selasa,2,22,7,7,5,4,0.007368421052631579
Selasa,2,23,7,7,2,2,0.007368421052631579
Rabu,3,0,15,6,2,2,0.015789473684210527
Rabu,3,1,0,0,0,0,0.0
Rabu,3,2,0,0,0,0,0.0
Rabu,3,3,0,0,0,0,0.0
Rabu,3,4,0,0,0,0,0.0
Rabu,3,5,0,0,0,0,0.0
Rabu,3,6,1,1,1,1,0.0010526315789473684
Rabu,3,7,12,12,4,4,0.01263157894736842
Rabu,3,8,11,11,3,3,0.011578947368421053
Rabu,3,9,10,10,4,4,0.010526315789473684
Rabu,3,10,3,3,2,2,0.003157894736842105
Rabu,3,11,5,5,3,2,0.005263157894736842
Rabu,3,12,11,7,3,2,0.011578947368421053
Rabu,3,13,7,7,2,2,0.007368421052631579
Rabu,3,14,6,6,3,3,0.00631578947368421
Rabu,3,15,3,3,3,2,0.003157894736842105
Rabu,3,16,4,4,4,4,0.004210526315789474
Rabu,3,17,14,14,5,5,0.014736842105263158
Rabu,3,18,3,3,3,3,0.003157894736842105
Rabu,3,19,14,14,5,4,0.014736842105263158
Rabu,3,20,5,5,5,4,0.005263157894736842
Rabu,3,21,7,7,1,2,0.007368421052631579
Rabu,3,22,10,10,4,4,0.010526315789473684
Rabu,3,23,1,1,1,1,0.0010526315789473684
Kamis,4,0,0,0,0,0,0.0
Kamis,4,1,0,0,0,0,0.0
Kamis,4,2,0,0,0,0,0.0
Kamis,4,3,0,0,0,0,0.0
Kamis,4,4,0,0,0,0,0.0
Kamis,4,5,6,6,2,2,0.00631578947368421
Kamis,4,6,3,3,3,3,0.003157894736842105
Kamis,4,7,2,2,2,2,0.002105263157894737
Kamis,4,8,20,20,5,7,0.021052631578947368
Kamis,4,9,3,3,2,2,0.003157894736842105
Kamis,4,10,5,5,5,4,0.005263157894736842
Kamis,4,11,4,4,2,2,0.004210526315789474
Kamis,4,12,4,4,4,4,0.004210526315789474
Kamis,4,13,3,3,3,2,0.003157894736842105
Kamis,4,14,2,2,2,2,0.002105263157894737
Kamis,4,15,13,13,4,4,0.01368421052631579
Kamis,4,16,33,28,8,8,0.034736842105263156
Kamis,4,17,28,25,8,9,0.029473684210526315
Kamis,4,18,1,1,1,1,0.0010526315789473684
Kamis,4,19,20,14,4,4,0.021052631578947368
Kamis,4,20,12,11,5,4,0.01263157894736842
Kamis,4,21,9,9,4,4,0.009473684210526316
Kamis,4,22,6,6,3,3,0.00631578947368421
Kamis,4,23,3,3,2,1,0.003157894736842105
Jumat,5,0,2,2,2,2,0.002105263157894737
