hcc_id,brand_label_auto,brand_combo,expected_active_brand_count,observed_active_brand_count,validation_status,notes
1,Mixed_3plus_Brands,Daviena + Maryame + Azarine,>=3,3,Valid,Mixed_3plus_Brands has at least three active brands.
2,Maryame,Maryame,1,1,Valid,Single-brand HCC has one active brand.
3,Mixed_2_Brands,Maryame + The Originote,2,2,Valid,Mixed_2_Brands has two active brands.
5,The Originote,The Originote,1,1,Valid,Single-brand HCC has one active brand.
14,Mixed_3plus_Brands,Daviena + Maryame + The Originote,>=3,3,Valid,Mixed_3plus_Brands has at least three active brands.
15,The Originote,The Originote,1,1,Valid,Single-brand HCC has one active brand.
16,Daviena,Daviena + The Originote,1,2,brand_membership_inconsistency,Observed active-brand count does not match brand_label_auto rule.
17,Mixed_3plus_Brands,Maryame + The Originote + Azarine,>=3,3,Valid,Mixed_3plus_Brands has at least three active brands.
18,The Originote,The Originote,1,1,Valid,Single-brand HCC has one active brand.
20,Daviena,Daviena + Maryame,1,2,brand_membership_inconsistency,Observed active-brand count does not match brand_label_auto rule.
34,Daviena,Daviena + Maryame + The Originote,1,3,brand_membership_inconsistency,Observed active-brand count does not match brand_label_auto rule.
42,Daviena,Daviena,1,1,Valid,Single-brand HCC has one active brand.
45,Mixed_3plus_Brands,Maryame + Azarine + The Originote,>=3,3,Valid,Mixed_3plus_Brands has at least three active brands.
46,The Originote,The Originote + Daviena,1,2,brand_membership_inconsistency,Observed active-brand count does not match brand_label_auto rule.
48,Mixed_3plus_Brands,The Originote + Azarine + Maryame,>=3,3,Valid,Mixed_3plus_Brands has at least three active brands.
49,Mixed_3plus_Brands,Daviena + Maryame + The Originote,>=3,3,Valid,Mixed_3plus_Brands has at least three active brands.
50,Maryame,Maryame,1,1,Valid,Single-brand HCC has one active brand.
52,Daviena,Daviena + Maryame + The Originote,1,3,brand_membership_inconsistency,Observed active-brand count does not match brand_label_auto rule.
54,Azarine,Azarine + Daviena,1,2,brand_membership_inconsistency,Observed active-brand count does not match brand_label_auto rule.
60,Daviena,Daviena,1,1,Valid,Single-brand HCC has one active brand.
63,Mixed_3plus_Brands,Maryame + Daviena + The Originote,>=3,3,Valid,Mixed_3plus_Brands has at least three active brands.
74,Daviena,Daviena + Maryame,1,2,brand_membership_inconsistency,Observed active-brand count does not match brand_label_auto rule.
75,Mixed_2_Brands,Daviena + Maryame,2,2,Valid,Mixed_2_Brands has two active brands.
87,Mixed_2_Brands,Daviena + Maryame,2,2,Valid,Mixed_2_Brands has two active brands.
90,Mixed_3plus_Brands,Azarine + Daviena + Maryame,>=3,3,Valid,Mixed_3plus_Brands has at least three active brands.
99,The Originote,The Originote,1,1,Valid,Single-brand HCC has one active brand.
103,Daviena,Daviena,1,1,Valid,Single-brand HCC has one active brand.
113,Maryame,Maryame,1,1,Valid,Single-brand HCC has one active brand.
114,Maryame,Maryame,1,1,Valid,Single-brand HCC has one active brand.
117,The Originote,The Originote,1,1,Valid,Single-brand HCC has one active brand.
132,Mixed_3plus_Brands,Azarine + Maryame + The Originote,>=3,3,Valid,Mixed_3plus_Brands has at least three active brands.
134,Daviena,Daviena + The Originote,1,2,brand_membership_inconsistency,Observed active-brand count does not match brand_label_auto rule.
150,Maryame,Maryame + The Originote,1,2,brand_membership_inconsistency,Observed active-brand count does not match brand_label_auto rule.
168,Daviena,Daviena,1,1,Valid,Single-brand HCC has one active brand.
180,Azarine,Azarine,1,1,Valid,Single-brand HCC has one active brand.
181,Daviena,Daviena,1,1,Valid,Single-brand HCC has one active brand.
182,Not identified,,0,0,Valid,Not identified has no active brand.
183,The Originote,The Originote,1,1,Valid,Single-brand HCC has one active brand.
191,The Originote,The Originote,1,1,Valid,Single-brand HCC has one active brand.
204,Azarine,Azarine,1,1,Valid,Single-brand HCC has one active brand.
205,The Originote,The Originote,1,1,Valid,Single-brand HCC has one active brand.
206,Maryame,Maryame,1,1,Valid,Single-brand HCC has one active brand.
