hcc_id,brand,is_active_brand,is_primary_brand,brand_label_auto,brand_combo,brand_confidence,brand_score,brand_user_count,brand_video_count,community_size,n_comments,goal_orientation,dominant_sentiment,narrative_similarity_level
1,Azarine,True,False,Mixed_3plus_Brands,Daviena + Maryame + Azarine,Low,2,6,2,3,21,Mixed Goals,Neutral,Low
1,Daviena,True,True,Mixed_3plus_Brands,Daviena + Maryame + Azarine,Low,4,12,4,3,21,Mixed Goals,Neutral,Low
1,Maryame,True,False,Mixed_3plus_Brands,Daviena + Maryame + Azarine,Low,4,9,4,3,21,Mixed Goals,Neutral,Low
2,Maryame,True,True,Maryame,Maryame,High,3,6,3,6,18,Mixed Goals,Neutral,Low
3,Maryame,True,True,Mixed_2_Brands,Maryame + The Originote,Medium,1,5,1,5,15,Neutral Engagement,Neutral,Low
3,The Originote,True,False,Mixed_2_Brands,Maryame + The Originote,Medium,1,5,1,5,15,Neutral Engagement,Neutral,Low
5,The Originote,True,True,The Originote,The Originote,High,8,24,8,8,64,Neutral Engagement,Neutral,Low
14,Daviena,True,True,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,2,6,2,3,15,Mixed Goals,Mixed,Low
14,Maryame,True,False,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,2,6,2,3,15,Mixed Goals,Mixed,Low
14,The Originote,True,False,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,1,3,1,3,15,Mixed Goals,Mixed,Low
15,The Originote,True,True,The Originote,The Originote,High,1,6,1,6,18,Neutral Engagement,Neutral,Low
16,Daviena,True,True,Daviena,Daviena + The Originote,Medium,2,10,2,5,15,Mixed Goals,Neutral,Low
16,The Originote,True,False,Daviena,Daviena + The Originote,Medium,1,5,1,5,15,Mixed Goals,Neutral,Low
17,Azarine,True,False,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,2,14,2,11,44,Mixed Goals,Neutral,Low
17,Maryame,True,True,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,4,19,4,11,44,Mixed Goals,Neutral,Low
17,The Originote,True,False,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,3,5,3,11,44,Mixed Goals,Neutral,Low
18,The Originote,True,True,The Originote,The Originote,High,1,6,1,6,18,Mixed Goals,Mixed,Low
20,Daviena,True,True,Daviena,Daviena + Maryame,Medium,3,9,3,3,24,Mixed Goals,Mixed,Low
20,Maryame,True,False,Daviena,Daviena + Maryame,Medium,2,3,2,3,24,Mixed Goals,Mixed,Low
34,Daviena,True,True,Daviena,Daviena + Maryame + The Originote,Medium,3,6,3,3,12,Mixed Goals,Neutral,Low
34,Maryame,True,False,Daviena,Daviena + Maryame + The Originote,Medium,1,2,1,3,12,Mixed Goals,Neutral,Low
34,The Originote,True,False,Daviena,Daviena + Maryame + The Originote,Medium,1,2,1,3,12,Mixed Goals,Neutral,Low
42,Daviena,True,True,Daviena,Daviena,High,3,10,3,5,23,Promotional / Supportive,Positive,Medium
45,Azarine,True,False,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,1,4,1,4,24,Neutral Engagement,Neutral,Low
45,Maryame,True,True,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,2,4,2,4,24,Neutral Engagement,Neutral,Low
45,The Originote,True,False,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,1,4,1,4,24,Neutral Engagement,Neutral,Low
46,Daviena,True,False,The Originote,The Originote + Daviena,Medium,1,7,1,7,21,Neutral Engagement,Neutral,Low
46,The Originote,True,True,The Originote,The Originote + Daviena,Medium,2,14,2,7,21,Neutral Engagement,Neutral,Low
