hcc_id,daypart,n_comments,n_unique_community_actors,n_unique_videos,brand_label_auto,goal_orientation,n_valid_timestamp_comments,dominant_daypart,temporal_profile_reliability,comment_share_within_hcc
1,Dini Hari,0,0,0,Mixed_3plus_Brands,Mixed Goals,21,Pagi,Descriptively sufficient,0.0
1,Pagi,9,3,3,Mixed_3plus_Brands,Mixed Goals,21,Pagi,Descriptively sufficient,0.42857142857142855
1,Siang,6,3,2,Mixed_3plus_Brands,Mixed Goals,21,Pagi,Descriptively sufficient,0.2857142857142857
1,Sore,6,3,2,Mixed_3plus_Brands,Mixed Goals,21,Pagi,Descriptively sufficient,0.2857142857142857
1,Malam,0,0,0,Mixed_3plus_Brands,Mixed Goals,21,Pagi,Descriptively sufficient,0.0
2,Dini Hari,0,0,0,Maryame,Mixed Goals,18,Pagi,Descriptively sufficient,0.0
2,Pagi,12,6,2,Maryame,Mixed Goals,18,Pagi,Descriptively sufficient,0.6666666666666666
2,Siang,0,0,0,Maryame,Mixed Goals,18,Pagi,Descriptively sufficient,0.0
2,Sore,6,6,1,Maryame,Mixed Goals,18,Pagi,Descriptively sufficient,0.3333333333333333
2,Malam,0,0,0,Maryame,Mixed Goals,18,Pagi,Descriptively sufficient,0.0
3,Dini Hari,5,5,1,Mixed_2_Brands,Neutral Engagement,15,Malam,Descriptively sufficient,0.3333333333333333
3,Pagi,0,0,0,Mixed_2_Brands,Neutral Engagement,15,Malam,Descriptively sufficient,0.0
3,Siang,0,0,0,Mixed_2_Brands,Neutral Engagement,15,Malam,Descriptively sufficient,0.0
3,Sore,0,0,0,Mixed_2_Brands,Neutral Engagement,15,Malam,Descriptively sufficient,0.0
3,Malam,10,5,2,Mixed_2_Brands,Neutral Engagement,15,Malam,Descriptively sufficient,0.6666666666666666
5,Dini Hari,5,5,3,The Originote,Neutral Engagement,64,Malam,Descriptively sufficient,0.078125
5,Pagi,13,8,7,The Originote,Neutral Engagement,64,Malam,Descriptively sufficient,0.203125
5,Siang,13,8,6,The Originote,Neutral Engagement,64,Malam,Descriptively sufficient,0.203125
5,Sore,13,7,5,The Originote,Neutral Engagement,64,Malam,Descriptively sufficient,0.203125
5,Malam,20,8,8,The Originote,Neutral Engagement,64,Malam,Descriptively sufficient,0.3125
14,Dini Hari,0,0,0,Mixed_3plus_Brands,Mixed Goals,15,Siang,Descriptively sufficient,0.0
14,Pagi,3,3,1,Mixed_3plus_Brands,Mixed Goals,15,Siang,Descriptively sufficient,0.2
14,Siang,6,3,2,Mixed_3plus_Brands,Mixed Goals,15,Siang,Descriptively sufficient,0.4
14,Sore,3,3,1,Mixed_3plus_Brands,Mixed Goals,15,Siang,Descriptively sufficient,0.2
14,Malam,3,3,1,Mixed_3plus_Brands,Mixed Goals,15,Siang,Descriptively sufficient,0.2
15,Dini Hari,0,0,0,The Originote,Neutral Engagement,18,Malam,Descriptively sufficient,0.0
15,Pagi,0,0,0,The Originote,Neutral Engagement,18,Malam,Descriptively sufficient,0.0
15,Siang,0,0,0,The Originote,Neutral Engagement,18,Malam,Descriptively sufficient,0.0
15,Sore,6,6,1,The Originote,Neutral Engagement,18,Malam,Descriptively sufficient,0.3333333333333333
15,Malam,12,6,2,The Originote,Neutral Engagement,18,Malam,Descriptively sufficient,0.6666666666666666
