hcc_id,community_size,primary_brand,brand_label_auto,goal_orientation,dominant_sentiment,positive_ratio,neutral_ratio,negative_ratio,narrative_similarity_level,dominant_weekday,dominant_weekday_share,dominant_daypart,peak_hour,weekday_concentration_score,n_active_weeks,dominant_weekday_week_coverage,temporal_profile_reliability,interpretation_safe
1,3,Daviena,Mixed_3plus_Brands,Mixed Goals,Neutral,0.2857142857142857,0.5714285714285714,0.1428571428571428,Low,Kamis,0.42857142857142855,Pagi,10,0.24196072888010556,7,0.42857142857142855,Descriptively sufficient,"HCC 1 memiliki aktivitas komentar HCC tertinggi pada hari Kamis dengan proporsi 42.9% dari komentar bertimestamp valid. Aktivitas tersebut teramati pada 3 dari 7 minggu aktif dan paling sering muncul pada pagi. Pola ini menunjukkan konsentrasi aktivitas berdasarkan hari yang teramati, bukan bukti jadwal kerja, hubungan komersial, koordinasi terencana, atau status akun sebagai buzzer."
2,6,Maryame,Maryame,Mixed Goals,Neutral,0.2777777777777778,0.5,0.2222222222222222,Low,Rabu,0.3333333333333333,Pagi,8,0.43542496594642044,3,0.3333333333333333,Descriptively sufficient,"HCC 2 memiliki aktivitas komentar HCC tertinggi pada hari Rabu dengan proporsi 33.3% dari komentar bertimestamp valid. Aktivitas tersebut teramati pada 1 dari 3 minggu aktif dan paling sering muncul pada pagi. Pola ini menunjukkan konsentrasi aktivitas berdasarkan hari yang teramati, bukan bukti jadwal kerja, hubungan komersial, koordinasi terencana, atau status akun sebagai buzzer."
3,5,Maryame,Mixed_2_Brands,Neutral Engagement,Neutral,0.1333333333333333,0.6666666666666666,0.2,Low,Selasa,0.3333333333333333,Malam,20,0.43542496594642044,3,0.3333333333333333,Descriptively sufficient,"HCC 3 memiliki aktivitas komentar HCC tertinggi pada hari Selasa dengan proporsi 33.3% dari komentar bertimestamp valid. Aktivitas tersebut teramati pada 1 dari 3 minggu aktif dan paling sering muncul pada malam. Pola ini menunjukkan konsentrasi aktivitas berdasarkan hari yang teramati, bukan bukti jadwal kerja, hubungan komersial, koordinasi terencana, atau status akun sebagai buzzer."
5,8,The Originote,The Originote,Neutral Engagement,Neutral,0.21875,0.640625,0.140625,Low,Rabu,0.25,Malam,17,0.05361096482239258,49,0.32653061224489793,Descriptively sufficient,"HCC 5 memiliki aktivitas komentar HCC tertinggi pada hari Rabu dengan proporsi 25.0% dari komentar bertimestamp valid. Aktivitas tersebut teramati pada 16 dari 49 minggu aktif dan paling sering muncul pada malam. Pola ini menunjukkan konsentrasi aktivitas berdasarkan hari yang teramati, bukan bukti jadwal kerja, hubungan komersial, koordinasi terencana, atau status akun sebagai buzzer."
14,3,Daviena,Mixed_3plus_Brands,Mixed Goals,Mixed,0.4,0.4666666666666667,0.1333333333333333,Low,Selasa,0.4,Siang,5,0.45787827433950157,5,0.4,Descriptively sufficient,"HCC 14 memiliki aktivitas komentar HCC tertinggi pada hari Selasa dengan proporsi 40.0% dari komentar bertimestamp valid. Aktivitas tersebut teramati pada 2 dari 5 minggu aktif dan paling sering muncul pada siang. Pola ini menunjukkan konsentrasi aktivitas berdasarkan hari yang teramati, bukan bukti jadwal kerja, hubungan komersial, koordinasi terencana, atau status akun sebagai buzzer."
15,6,The Originote,The Originote,Neutral Engagement,Neutral,0.1666666666666666,0.6111111111111112,0.2222222222222222,Low,Selasa,0.6666666666666666,Malam,17,0.6728964240184352,3,0.6666666666666666,Descriptively sufficient,"HCC 15 memiliki aktivitas komentar HCC tertinggi pada hari Selasa dengan proporsi 66.7% dari komentar bertimestamp valid. Aktivitas tersebut teramati pada 2 dari 3 minggu aktif dan paling sering muncul pada malam. Pola ini menunjukkan konsentrasi aktivitas berdasarkan hari yang teramati, bukan bukti jadwal kerja, hubungan komersial, koordinasi terencana, atau status akun sebagai buzzer."
16,5,Daviena,Daviena,Mixed Goals,Neutral,0.2666666666666666,0.5333333333333333,0.2,Low,Kamis,0.3333333333333333,Pagi,6,0.43542496594642044,3,0.3333333333333333,Descriptively sufficient,"HCC 16 memiliki aktivitas komentar HCC tertinggi pada hari Kamis dengan proporsi 33.3% dari komentar bertimestamp valid. Aktivitas tersebut teramati pada 1 dari 3 minggu aktif dan paling sering muncul pada pagi. Pola ini menunjukkan konsentrasi aktivitas berdasarkan hari yang teramati, bukan bukti jadwal kerja, hubungan komersial, koordinasi terencana, atau status akun sebagai buzzer."
17,11,Maryame,Mixed_3plus_Brands,Mixed Goals,Neutral,0.2272727272727272,0.5454545454545454,0.2272727272727272,Low,Senin,0.36363636363636365,Malam,20,0.16255616408538887,9,0.2222222222222222,Descriptively sufficient,"HCC 17 memiliki aktivitas komentar HCC tertinggi pada hari Senin dengan proporsi 36.4% dari komentar bertimestamp valid. Aktivitas tersebut teramati pada 2 dari 9 minggu aktif dan paling sering muncul pada malam. Pola ini menunjukkan konsentrasi aktivitas berdasarkan hari yang teramati, bukan bukti jadwal kerja, hubungan komersial, koordinasi terencana, atau status akun sebagai buzzer."
18,6,The Originote,The Originote,Mixed Goals,Mixed,0.4444444444444444,0.3888888888888889,0.1666666666666666,Low,Rabu,0.6666666666666666,Malam,19,0.6728964240184352,3,0.6666666666666666,Descriptively sufficient,"HCC 18 memiliki aktivitas komentar HCC tertinggi pada hari Rabu dengan proporsi 66.7% dari komentar bertimestamp valid. Aktivitas tersebut teramati pada 2 dari 3 minggu aktif dan paling sering muncul pada malam. Pola ini menunjukkan konsentrasi aktivitas berdasarkan hari yang teramati, bukan bukti jadwal kerja, hubungan komersial, koordinasi terencana, atau status akun sebagai buzzer."
20,3,Daviena,Daviena,Mixed Goals,Mixed,0.375,0.375,0.25,Low,Minggu,0.375,Pagi,17,0.23214587322303148,8,0.375,Descriptively sufficient,"HCC 20 memiliki aktivitas komentar HCC tertinggi pada hari Minggu dengan proporsi 37.5% dari komentar bertimestamp valid. Aktivitas tersebut teramati pada 3 dari 8 minggu aktif dan paling sering muncul pada pagi. Pola ini menunjukkan konsentrasi aktivitas berdasarkan hari yang teramati, bukan bukti jadwal kerja, hubungan komersial, koordinasi terencana, atau status akun sebagai buzzer."
