hcc_id,community_size,primary_brand,brand_label_auto,goal_orientation,dominant_sentiment,positive_ratio,neutral_ratio,negative_ratio,narrative_similarity_level,n_comments,n_valid_timestamp_comments,n_unique_commenting_accounts,n_active_videos,n_active_dates,n_active_weeks,comments_Senin,comments_Selasa,comments_Rabu,comments_Kamis,comments_Jumat,comments_Sabtu,comments_Minggu,share_Senin,share_Selasa,share_Rabu,share_Kamis,share_Jumat,share_Sabtu,share_Minggu,dominant_weekday,dominant_weekday_comment_count,dominant_weekday_share,second_weekday,second_weekday_share,weekday_entropy_normalized,weekday_concentration_score,weekday_concentration_level,weekend_comment_share,dominant_daypart,peak_hour,dominant_weekday_active_weeks,dominant_weekday_week_coverage,temporal_profile_reliability
1,3,Daviena,Mixed_3plus_Brands,Mixed Goals,Neutral,0.2857142857142857,0.5714285714285714,0.1428571428571428,Low,21,21,3,7,7,7,3,3,0,9,3,0,3,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,Kamis,9,0.42857142857142855,Senin,0.14285714285714285,0.7580392711198944,0.24196072888010556,Moderate weekday concentration,0.14285714285714285,Pagi,10,3,0.42857142857142855,Descriptively sufficient
2,6,Maryame,Maryame,Mixed Goals,Neutral,0.2777777777777778,0.5,0.2222222222222222,Low,18,18,6,3,3,3,0,0,6,6,0,6,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,Rabu,6,0.3333333333333333,Kamis,0.3333333333333333,0.5645750340535796,0.43542496594642044,High weekday concentration,0.3333333333333333,Pagi,8,1,0.3333333333333333,Descriptively sufficient
3,5,Maryame,Mixed_2_Brands,Neutral Engagement,Neutral,0.1333333333333333,0.6666666666666666,0.2,Low,15,15,5,3,3,3,0,5,0,5,5,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,Selasa,5,0.3333333333333333,Kamis,0.3333333333333333,0.5645750340535796,0.43542496594642044,High weekday concentration,0.0,Malam,20,1,0.3333333333333333,Descriptively sufficient
5,8,The Originote,The Originote,Neutral Engagement,Neutral,0.21875,0.640625,0.140625,Low,64,64,8,8,57,49,15,5,16,6,6,10,6,0.234375,0.078125,0.25,0.09375,0.09375,0.15625,0.09375,Rabu,16,0.25,Senin,0.234375,0.9463890351776074,0.05361096482239258,Low weekday concentration,0.25,Malam,17,16,0.32653061224489793,Descriptively sufficient
14,3,Daviena,Mixed_3plus_Brands,Mixed Goals,Mixed,0.4,0.4666666666666667,0.1333333333333333,Low,15,15,3,5,5,5,3,6,0,6,0,0,0,0.2,0.4,0.0,0.4,0.0,0.0,0.0,Selasa,6,0.4,Kamis,0.4,0.5421217256604984,0.45787827433950157,High weekday concentration,0.0,Siang,5,2,0.4,Descriptively sufficient
15,6,The Originote,The Originote,Neutral Engagement,Neutral,0.1666666666666666,0.6111111111111112,0.2222222222222222,Low,18,18,6,3,3,3,0,12,0,0,0,0,6,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,Selasa,12,0.6666666666666666,Minggu,0.3333333333333333,0.3271035759815648,0.6728964240184352,High weekday concentration,0.3333333333333333,Malam,17,2,0.6666666666666666,Descriptively sufficient
16,5,Daviena,Daviena,Mixed Goals,Neutral,0.2666666666666666,0.5333333333333333,0.2,Low,15,15,5,3,3,3,0,0,0,5,5,0,5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,Kamis,5,0.3333333333333333,Jumat,0.3333333333333333,0.5645750340535796,0.43542496594642044,High weekday concentration,0.3333333333333333,Pagi,6,1,0.3333333333333333,Descriptively sufficient
17,11,Maryame,Mixed_3plus_Brands,Mixed Goals,Neutral,0.2272727272727272,0.5454545454545454,0.2272727272727272,Low,44,44,11,10,10,9,16,2,0,6,8,5,7,0.36363636363636365,0.045454545454545456,0.0,0.13636363636363635,0.18181818181818182,0.11363636363636363,0.1590909090909091,Senin,16,0.36363636363636365,Jumat,0.18181818181818182,0.8374438359146111,0.16255616408538887,Low weekday concentration,0.2727272727272727,Malam,20,2,0.2222222222222222,Descriptively sufficient
18,6,The Originote,The Originote,Mixed Goals,Mixed,0.4444444444444444,0.3888888888888889,0.1666666666666666,Low,18,18,6,3,3,3,0,6,12,0,0,0,0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,Rabu,12,0.6666666666666666,Selasa,0.3333333333333333,0.3271035759815648,0.6728964240184352,High weekday concentration,0.0,Malam,19,2,0.6666666666666666,Descriptively sufficient
20,3,Daviena,Daviena,Mixed Goals,Mixed,0.375,0.375,0.25,Low,24,24,3,8,8,8,0,0,3,3,3,6,9,0.0,0.0,0.125,0.125,0.125,0.25,0.375,Minggu,9,0.375,Sabtu,0.25,0.7678541267769685,0.23214587322303148,Moderate weekday concentration,0.625,Pagi,17,3,0.375,Descriptively sufficient
