hcc_id,week_start_date,n_comments,n_active_accounts,n_active_videos,dominant_weekday_in_week,dominant_daypart_in_week,dominant_weekday,contains_overall_dominant_weekday
1,2023-10-09,3,3,1,Jumat,Pagi,Kamis,False
1,2023-12-25,3,3,1,Kamis,Siang,Kamis,True
1,2024-08-12,3,3,1,Kamis,Pagi,Kamis,True
1,2024-09-23,3,3,1,Kamis,Sore,Kamis,True
1,2024-09-30,3,3,1,Minggu,Pagi,Kamis,False
1,2024-12-16,3,3,1,Senin,Siang,Kamis,False
1,2025-02-03,3,3,1,Selasa,Sore,Kamis,False
103,2023-10-23,1,1,1,Sabtu,Pagi,Minggu,False
103,2023-10-30,1,1,1,Kamis,Siang,Minggu,False
103,2023-11-27,2,2,1,Selasa,Pagi,Minggu,False
103,2023-12-11,1,1,1,Rabu,Malam,Minggu,False
103,2023-12-18,3,3,1,Kamis,Pagi,Minggu,False
103,2023-12-25,2,2,1,Jumat,Dini Hari,Minggu,False
103,2024-01-01,1,1,1,Minggu,Pagi,Minggu,True
103,2024-01-08,1,1,1,Minggu,Malam,Minggu,True
103,2024-01-15,1,1,1,Jumat,Siang,Minggu,False
103,2024-02-05,2,2,1,Jumat,Pagi,Minggu,False
103,2024-03-04,1,1,1,Minggu,Pagi,Minggu,True
103,2024-03-11,1,1,1,Jumat,Sore,Minggu,False
103,2024-06-03,3,3,2,Rabu,Siang,Minggu,False
103,2024-06-10,2,2,1,Rabu,Sore,Minggu,False
103,2024-06-17,1,1,1,Selasa,Sore,Minggu,False
103,2024-07-01,1,1,1,Senin,Sore,Minggu,False
103,2024-07-08,1,1,1,Rabu,Malam,Minggu,False
103,2024-07-22,2,2,1,Senin,Pagi,Minggu,False
103,2024-09-02,1,1,1,Kamis,Siang,Minggu,False
103,2025-02-03,1,1,1,Minggu,Siang,Minggu,True
103,2026-01-26,1,1,1,Sabtu,Malam,Minggu,False
113,2024-04-29,11,6,1,Selasa,Malam,Selasa,True
113,2024-10-28,6,6,1,Senin,Pagi,Selasa,False
113,2024-12-16,11,6,1,Kamis,Sore,Selasa,False
114,2024-11-11,11,6,1,Jumat,Malam,Jumat,True
114,2025-01-20,6,6,1,Kamis,Sore,Jumat,False
114,2025-08-25,11,6,1,Sabtu,Pagi,Jumat,False
117,2024-02-12,6,6,1,Rabu,Siang,Rabu,True
117,2024-08-12,6,6,1,Kamis,Sore,Rabu,False
117,2025-05-05,6,6,1,Sabtu,Malam,Rabu,False
132,2024-01-08,4,4,1,Selasa,Pagi,Selasa,True
132,2024-04-29,4,4,1,Rabu,Malam,Selasa,False
132,2026-03-23,4,4,1,Kamis,Pagi,Selasa,False
134,2022-08-01,2,2,1,Jumat,Siang,Rabu,False
134,2024-01-22,3,3,1,Kamis,Sore,Rabu,False
134,2024-02-26,2,2,1,Minggu,Dini Hari,Rabu,False
134,2024-03-11,3,3,1,Rabu,Malam,Rabu,True
134,2024-10-21,3,3,1,Sabtu,Malam,Rabu,False
134,2025-11-24,2,2,1,Selasa,Siang,Rabu,False
14,2023-10-02,3,3,1,Kamis,Malam,Selasa,False
14,2024-05-27,3,3,1,Selasa,Pagi,Selasa,True
14,2024-09-30,3,3,1,Kamis,Sore,Selasa,False
14,2024-10-21,3,3,1,Selasa,Siang,Selasa,True
14,2025-02-10,3,3,1,Senin,Siang,Selasa,False
15,2024-06-03,6,6,1,Selasa,Malam,Selasa,True
15,2024-08-05,6,6,1,Minggu,Malam,Selasa,False
15,2024-08-12,6,6,1,Selasa,Sore,Selasa,True
150,2023-04-24,6,6,1,Kamis,Malam,Senin,False
150,2024-03-04,6,6,1,Senin,Malam,Senin,True
150,2024-04-22,6,6,1,Senin,Pagi,Senin,True
150,2024-08-12,1,1,1,Sabtu,Sore,Senin,False
150,2024-08-19,1,1,1,Selasa,Pagi,Senin,False
150,2024-10-07,4,4,2,Sabtu,Pagi,Senin,False
150,2024-10-14,1,1,1,Rabu,Pagi,Senin,False
150,2024-10-21,5,5,1,Selasa,Pagi,Senin,False
150,2024-10-28,5,4,2,Sabtu,Siang,Senin,False
