individual_username,n_uploaded_videos,n_valid_upload_dates,first_upload_date,last_upload_date,dominant_upload_weekday
adilana.na,1,1,2023-12-18,2023-12-18,Senin
adiliarizqa,1,1,2023-10-19,2023-10-19,Kamis
afikarrhnur,1,1,2024-01-24,2024-01-24,Rabu
ansyashine,1,1,2023-12-17,2023-12-17,Minggu
asabelavvv,1,1,2023-08-22,2023-08-22,Selasa
cellynstore_,1,1,2023-05-20,2023-05-20,Sabtu
daviena_dvn,1,1,2024-07-08,2024-07-08,Senin
deswitatata2,2,2,2023-08-01,2023-09-17,Selasa
dewihanijayanti,3,2,2025-02-17,2025-05-24,Senin
dicannnns,1,1,2023-01-30,2023-01-30,Senin
dr.okypratamaa_kedua,1,1,2024-10-22,2024-10-22,Selasa
dww.srtk,1,1,2023-11-27,2023-11-27,Senin
faniabsaa,1,1,2023-09-30,2023-09-30,Sabtu
fvajar_,1,1,2023-01-05,2023-01-05,Kamis
glowupyuk34,1,1,2023-03-09,2023-03-09,Kamis
iketiaaa,1,1,2024-09-26,2024-09-26,Kamis
irnaayu27,2,2,2024-06-04,2024-06-09,Selasa
janeabys,1,1,2022-09-21,2022-09-21,Rabu
jesyjeyn,1,1,2024-04-19,2024-04-19,Jumat
juliadoang08,1,1,2024-02-29,2024-02-29,Kamis
lookatmeeh__,1,1,2023-07-21,2023-07-21,Jumat
maharajasp8,1,1,2023-12-13,2023-12-13,Rabu
maryame.official,5,5,2023-12-15,2025-07-04,Jumat
mayhapid2,3,3,2024-04-24,2024-06-27,Selasa
melvinahusyanti96,1,0,,,Not Observed
mimiaudmua,1,1,2024-09-25,2024-09-25,Rabu
mputrizahro,1,1,2024-10-10,2024-10-10,Kamis
nabellaolivia,1,1,2023-10-12,2023-10-12,Kamis
namicwn_,1,1,2023-06-08,2023-06-08,Kamis
nooraabeautycreator,1,1,2024-10-26,2024-10-26,Sabtu
notforsheil,1,0,,,Not Observed
orinagista13,1,1,2024-01-03,2024-01-03,Rabu
racunwithdivani,1,1,2023-12-19,2023-12-19,Selasa
rikut02,1,1,2024-10-24,2024-10-24,Kamis
skinby_sindy,1,1,2025-12-22,2025-12-22,Senin
skincarebyw,1,1,2024-07-29,2024-07-29,Senin
soufberry,1,1,2022-07-21,2022-07-21,Kamis
susiyuliani30,1,1,2022-12-29,2022-12-29,Kamis
theoriginote,3,3,2023-01-13,2025-01-13,Senin
thisisalulaa,1,0,,,Not Observed
tiarach18,1,1,2022-08-08,2022-08-08,Senin
vivianmarguerre,1,1,2023-05-26,2023-05-26,Jumat
yulyadew123,1,1,2024-10-02,2024-10-02,Rabu
