actor_type_primary,weekday_name_id,standardized_residual,observed_count,expected_count,weekday_number
Community Actor,Senin,1.6332985640496904,128,110.80709127500887,1
Community Actor,Selasa,-1.737887162914306,162,185.6813069728898,2
Community Actor,Rabu,-0.08600642236534158,142,143.028590031964,3
Community Actor,Kamis,0.6103097132777174,177,169.06446075529774,4
Community Actor,Jumat,-0.8214809879788747,109,117.9205635136735,5
Community Actor,Sabtu,2.49659056040522,145,117.89244702261158,6
Community Actor,Minggu,-1.8105017029673218,87,105.60554042855452,7
Individual Actor,Senin,1.6978198681462566,183,161.42843613117083,1
Individual Actor,Selasa,-2.9493487777983987,222,270.50834615839943,2
Individual Actor,Rabu,-1.8268111261307876,182,208.37007221498757,3
Individual Actor,Kamis,-2.5041632157757814,207,246.30022493192848,4
Individual Actor,Jumat,2.3810576126986205,203,171.791642003078,5
Individual Actor,Sabtu,2.0029440224713775,198,171.75068071504677,6
Individual Actor,Minggu,2.833794470499819,189,153.8505978453889,7
Mass Actor,Senin,-0.6399911429682471,3630,3668.7644725938203,1
Mass Actor,Selasa,0.9206927520617085,6220,6147.81034686871,2
Mass Actor,Rabu,0.3981454815661577,4763,4735.601337753048,3
Mass Actor,Kamis,0.4192167621399204,5629,5597.6353143127735,4
Mass Actor,Jumat,-0.35669431115116484,3882,3904.2877944832485,5
Mass Actor,Sabtu,-0.8540262780891041,3850,3903.3568722623418,6
Mass Actor,Minggu,-0.2797804738100967,3480,3496.5438617260565,7
