source,target,co_conv_weight
_4rinss,aliyaasaaa,3
_4rinss,beautyaddict_ct30004,3
_4rinss,bestieku_ct66053,3
_4rinss,celestialveilx,3
_4rinss,dhiyaaalmassluqianaa,3
_4rinss,glowup_ct95695,3
_4rinss,kulitcerah_ct74535,3
_4rinss,skinlover_ct47678,3
_4rinss,skintok_ct62066,3
_4rinss,sobat.kulitmu,3
aliyaasaaa,celestialveilx,3
aliyaasaaa,dhiyaaalmassluqianaa,3
aliyaasaaa,sobat.kulitmu,3
beauty_ip5786,beautyaddict_ip9987,6
beauty_ip5786,cantik_ip9223,6
beauty_ip5786,glowhunter_ip9119,4
beauty_ip5786,kulitglowing_ip3422,6
beauty_ip5786,kulitglowing_ip4767,4
beauty_ip5786,kulitglowing_ip9832,4
beauty_ip5786,kulitglowing_ip986,6
beauty_ip5786,reviewjujur_ip2228,4
beauty_ip5786,reviewjujur_ip3756,6
beauty_ip5786,skinbestie_ip1027,4
beauty_ip5786,skinbestie_ip5720,6
beauty_ip5786,skincare_ip7443,4
beauty_ip5786,skinclub_ip8942,4
beauty_ip5786,skinlover_ip4667,4
beauty_ip5786,skinlover_ip9681,6
beautyaddict_ct30004,bestieku_ct66053,4
beautyaddict_ct30004,glowup_ct95695,4
beautyaddict_ct30004,kulitcerah_ct74535,4
beautyaddict_ct30004,skinlover_ct47678,4
beautyaddict_ct30004,skintok_ct62066,4
beautyaddict_ip9987,cantik_ip9223,6
beautyaddict_ip9987,glowhunter_ip9119,4
beautyaddict_ip9987,kulitglowing_ip3422,6
beautyaddict_ip9987,kulitglowing_ip4767,4
beautyaddict_ip9987,kulitglowing_ip9832,4
beautyaddict_ip9987,kulitglowing_ip986,6
beautyaddict_ip9987,reviewjujur_ip2228,4
beautyaddict_ip9987,reviewjujur_ip3756,6
beautyaddict_ip9987,skinbestie_ip1027,4
beautyaddict_ip9987,skinbestie_ip5720,6
beautyaddict_ip9987,skincare_ip7443,4
beautyaddict_ip9987,skinclub_ip8942,4
beautyaddict_ip9987,skinlover_ip4667,4
beautyaddict_ip9987,skinlover_ip9681,6
bestieku_ct66053,glowup_ct95695,4
bestieku_ct66053,kulitcerah_ct74535,4
bestieku_ct66053,skinlover_ct47678,4
bestieku_ct66053,skintok_ct62066,4
bestieku_rp31438,cantik_ct9210,3
bestieku_rp31438,cantik_rr10481,6
bestieku_rp31438,kulitglowing_ct49929,3
bestieku_rp84635,glowingid_rr28375,5
cantik_ct9210,cantik_rr10481,3
cantik_ct9210,glowhunter_rr20059,3
cantik_ct9210,kulitcerah_rp9486,3
cantik_ct9210,kulitcerah_rr26372,3
cantik_ct9210,kulitglowing_ct49929,7
cantik_ct9210,racun_rp24880,3
cantik_ip9223,glowhunter_ip9119,4
cantik_ip9223,kulitglowing_ip3422,6
cantik_ip9223,kulitglowing_ip4767,4
cantik_ip9223,kulitglowing_ip9832,4
cantik_ip9223,kulitglowing_ip986,6
cantik_ip9223,reviewjujur_ip2228,4
cantik_ip9223,reviewjujur_ip3756,6
cantik_ip9223,skinbestie_ip1027,4
cantik_ip9223,skinbestie_ip5720,6
cantik_ip9223,skincare_ip7443,4
cantik_ip9223,skinclub_ip8942,4
cantik_ip9223,skinlover_ip4667,4
cantik_ip9223,skinlover_ip9681,6
cantik_rr10481,kulitglowing_ct49929,3
cantiknyata_r3c06m00x8166,cantiknyata_r3c06m01x3833,3
cantiknyata_r3c06m00x8166,cantiknyata_r3c06m02x7276,3
cantiknyata_r3c06m00x8166,cantiknyata_r3c06m03x7677,3
cantiknyata_r3c06m00x8166,cantiknyata_r3c06m04x5441,3
cantiknyata_r3c06m00x8166,cantiknyata_r3c06m05x2517,3
cantiknyata_r3c06m01x3833,cantiknyata_r3c06m02x7276,3
cantiknyata_r3c06m01x3833,cantiknyata_r3c06m03x7677,3
cantiknyata_r3c06m01x3833,cantiknyata_r3c06m04x5441,3
cantiknyata_r3c06m01x3833,cantiknyata_r3c06m05x2517,3
cantiknyata_r3c06m02x7276,cantiknyata_r3c06m03x7677,3
cantiknyata_r3c06m02x7276,cantiknyata_r3c06m04x5441,3
cantiknyata_r3c06m02x7276,cantiknyata_r3c06m05x2517,3
cantiknyata_r3c06m03x7677,cantiknyata_r3c06m04x5441,3
cantiknyata_r3c06m03x7677,cantiknyata_r3c06m05x2517,3
cantiknyata_r3c06m04x5441,cantiknyata_r3c06m05x2517,3
celestialveilx,dhiyaaalmassluqianaa,3
celestialveilx,sobat.kulitmu,3
dearskin_rp37681,testireal_rr93987,3
dearskin_rp59433,racun_rr27774,3
dhiyaaalmassluqianaa,sobat.kulitmu,3
glowhunter_ip9119,kulitglowing_ip3422,4
glowhunter_ip9119,kulitglowing_ip4767,8
glowhunter_ip9119,kulitglowing_ip9832,8
glowhunter_ip9119,kulitglowing_ip986,4
glowhunter_ip9119,reviewjujur_ip2228,8
glowhunter_ip9119,reviewjujur_ip3756,4
glowhunter_ip9119,skinbestie_ip1027,8
glowhunter_ip9119,skinbestie_ip5720,4
glowhunter_ip9119,skincare_ip7443,8
glowhunter_ip9119,skinclub_ip8942,8
glowhunter_ip9119,skinlover_ip4667,8
glowhunter_ip9119,skinlover_ip9681,4
glowhunter_ip9119,skintok_ct62066,4
glowhunter_ip9119,trullyre_,3
glowhunter_ip9119,vidiaayuuu,4
glowhunter_rr20059,kulitglowing_ct49929,3
glowhunter_rr20059,racun_rp24880,7
glowingid_rp61402,racun_rr28461,6
glowup_ct95695,kulitcerah_ct74535,4
glowup_ct95695,skinlover_ct47678,4
glowup_ct95695,skintok_ct62066,4
glowup_rr2143,testireal_rp23966,4
kulitcerah_ct74535,skinlover_ct47678,4
kulitcerah_ct74535,skintok_ct62066,4
kulitcerah_rp9486,kulitcerah_rr26372,4
