source,target,co_temporal_weight
glowup_ct95695,kulitcerah_ct74535,4
beautyaddict_ct30004,bestieku_ct66053,4
kulitcerah_ct74535,skintok_ct62066,4
beautyaddict_ct30004,skintok_ct62066,4
bestieku_ct66053,skintok_ct62066,4
kulitcerah_ct74535,skinlover_ct47678,4
glowup_ct95695,skintok_ct62066,4
beautyaddict_ct30004,skinlover_ct47678,4
bestieku_ct66053,skinlover_ct47678,4
beautyaddict_ct30004,glowup_ct95695,4
bestieku_ct66053,glowup_ct95695,4
glowup_ct95695,skinlover_ct47678,4
beautyaddict_ct30004,kulitcerah_ct74535,4
bestieku_ct66053,kulitcerah_ct74535,4
skinlover_ct47678,skintok_ct62066,4
racun_ct45713,skinlover_ct30407,5
beauty_ct15443,racun_ct45713,5
beauty_ct15443,skinlover_ct30407,5
reviewpedas_r3c09m01x4727,reviewpedas_r3c09m02x6779,3
beautyaddict_ct95803,skintok_ct75378,5
reviewpedas_r3c09m01x4727,reviewpedas_r3c09m03x3704,3
beauty_ct22809,racun_ct45713,5
beauty_ct22809,skinlover_ct30407,5
skinbestie_ct9114,skinlover_ct782,3
racun_ct7880,reviewjujur_ct9773,3
reviewpedas_r3c09m00x7495,reviewpedas_r3c09m04x5100,3
reviewpedas_r3c09m02x6779,reviewpedas_r3c09m03x3704,3
reviewjujur_ct9366,reviewjujur_ct9773,3
beautyaddict_ct95803,racun_ct45713,5
reviewpedas_r3c09m00x7495,reviewpedas_r3c09m01x4727,3
reviewjujur_ct9773,skinlover_ct782,3
reviewpedas_r3c09m00x7495,reviewpedas_r3c09m02x6779,3
beautyaddict_ct95803,skinlover_ct30407,5
reviewpedas_r3c09m00x7495,reviewpedas_r3c09m03x3704,3
beauty_ct94362,skintok_ct75378,5
racun_ct7880,skinbestie_ct9114,3
beauty_ct15443,beauty_ct94362,5
reviewjujur_ct9773,skinbestie_ct9114,3
beauty_ct94362,skinlover_ct30407,5
racun_ct7880,skinlover_ct782,3
reviewpedas_r3c09m03x3704,reviewpedas_r3c09m04x5100,3
racun_ct45713,skintok_ct75378,5
beauty_ct22809,beauty_ct94362,5
beauty_ct15443,skintok_ct75378,5
beauty_ct94362,beautyaddict_ct95803,5
racun_ct7880,reviewjujur_ct9366,3
beauty_ct22809,skintok_ct75378,5
beauty_ct15443,beauty_ct22809,5
reviewjujur_ct9366,skinbestie_ct9114,3
skinlover_ct30407,skintok_ct75378,5
reviewpedas_r3c09m02x6779,reviewpedas_r3c09m04x5100,3
beauty_ct15443,beautyaddict_ct95803,5
reviewjujur_ct9366,skinlover_ct782,3
beauty_ct94362,racun_ct45713,5
reviewpedas_r3c09m01x4727,reviewpedas_r3c09m04x5100,3
beauty_ct22809,beautyaddict_ct95803,5
