Community,Nodes (Louvain),Edges (Louvain),max_weight,Density,Average Degree,Average Weighted Degree,Nodes (FSA_V Vh),Edges (FSA_V Eh),Candidate MEW,HCC
50,6,15,2.0,1.0,5.0,8.4583,5,10,2.0,True
20,21,56,2.0,0.266667,5.3333,4.2381,3,3,2.0,True
120,2,1,2.0,1.0,1.0,2.0,2,1,2.0,False
156,2,1,1.875,1.0,1.0,1.875,2,1,1.875,False
93,4,6,1.875,1.0,3.0,2.8036,2,1,1.875,False
28,2,1,1.875,1.0,1.0,1.875,2,1,1.875,False
164,2,1,1.875,1.0,1.0,1.875,2,1,1.875,False
132,11,26,1.875,0.472727,4.7273,4.4286,2,1,1.875,False
65,2,1,1.875,1.0,1.0,1.875,2,1,1.875,False
1,3,3,1.75,1.0,2.0,3.5,3,3,1.75,True
76,2,1,1.7321,1.0,1.0,1.7321,2,1,1.7321428571428572,False
188,2,1,1.7321,1.0,1.0,1.7321,2,1,1.7321428571428572,False
91,2,1,1.6071,1.0,1.0,1.6071,2,1,1.6071428571428572,False
110,2,1,1.6071,1.0,1.0,1.6071,2,1,1.6071428571428572,False
186,2,1,1.6071,1.0,1.0,1.6071,2,1,1.6071428571428572,False
180,2,1,1.6071,1.0,1.0,1.6071,2,1,1.6071428571428572,False
39,2,1,1.6071,1.0,1.0,1.6071,2,1,1.6071428571428572,False
43,4,6,1.5,1.0,3.0,4.5,4,6,1.5,True
46,5,10,1.5,1.0,4.0,6.0,5,10,1.5,True
137,2,1,1.4643,1.0,1.0,1.4643,2,1,1.4642857142857144,False
54,2,1,1.4643,1.0,1.0,1.4643,2,1,1.4642857142857144,False
173,2,1,1.4643,1.0,1.0,1.4643,2,1,1.4642857142857144,False
56,3,3,1.4643,1.0,2.0,1.6429,2,1,1.4642857142857144,False
160,2,1,1.4643,1.0,1.0,1.4643,2,1,1.4642857142857144,False
26,2,1,1.4643,1.0,1.0,1.4643,2,1,1.4642857142857144,False
150,19,42,1.5,0.245614,4.4211,3.6992,6,15,1.3833333333333333,True
106,3,2,1.3393,0.666667,1.3333,1.25,2,1,1.3392857142857144,False
55,2,1,1.3393,1.0,1.0,1.3393,2,1,1.3392857142857144,False
62,14,30,1.6071,0.32967,4.2857,4.9668,3,2,1.3392857142857144,True
141,6,5,1.3393,0.333333,1.6667,1.2798,2,1,1.3392857142857144,False
81,2,1,1.3393,1.0,1.0,1.3393,2,1,1.3392857142857144,False
171,2,1,1.3393,1.0,1.0,1.3393,2,1,1.3392857142857144,False
174,2,1,1.3393,1.0,1.0,1.3393,2,1,1.3392857142857144,False
25,2,1,1.3393,1.0,1.0,1.3393,2,1,1.3392857142857144,False
12,2,1,1.3393,1.0,1.0,1.3393,2,1,1.3392857142857144,False
146,2,1,1.3393,1.0,1.0,1.3393,2,1,1.3392857142857144,False
140,2,1,1.3393,1.0,1.0,1.3393,2,1,1.3392857142857144,False
97,2,1,1.3393,1.0,1.0,1.3393,2,1,1.3392857142857144,False
152,2,1,1.3393,1.0,1.0,1.3393,2,1,1.3392857142857144,False
143,4,3,1.3393,0.5,1.5,1.5893,2,1,1.3392857142857144,False
85,2,1,1.3393,1.0,1.0,1.3393,2,1,1.3392857142857144,False
82,2,1,1.3393,1.0,1.0,1.3393,2,1,1.3392857142857144,False
87,3,2,1.3393,0.666667,1.3333,1.25,2,1,1.3392857142857144,False
126,2,1,1.2857,1.0,1.0,1.2857,2,1,1.2857142857142856,False
133,3,2,1.7321,0.666667,1.3333,1.6905,3,2,1.2678571428571428,True
86,5,10,1.3393,1.0,4.0,4.2857,5,7,1.2627551020408165,True
14,3,3,1.25,1.0,2.0,2.5,3,3,1.25,True
201,3,2,1.1964,0.666667,1.3333,1.2381,2,1,1.1964285714285714,False
75,2,1,1.1964,1.0,1.0,1.1964,2,1,1.1964285714285714,False
145,2,1,1.1964,1.0,1.0,1.1964,2,1,1.1964285714285714,False
80,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
33,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
178,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
84,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
175,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
176,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
77,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
153,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
57,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
142,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
161,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
162,3,2,1.0714,0.666667,1.3333,1.0714,2,1,1.0714285714285714,False
83,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
125,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
36,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
159,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
10,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
134,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
200,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
197,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
108,3,2,1.0714,0.666667,1.3333,1.0714,2,1,1.0714285714285714,False
157,2,1,1.0714,1.0,1.0,1.0714,2,1,1.0714285714285714,False
40,5,10,1.0357,1.0,4.0,3.4571,5,4,1.0357142857142856,True
205,5,10,1.0357,1.0,4.0,3.4571,5,4,1.0357142857142856,True
193,5,10,1.0357,1.0,4.0,3.4571,5,4,1.0357142857142856,True
112,6,15,1.0357,1.0,5.0,4.2262,6,5,1.0357142857142856,True
113,6,15,1.0357,1.0,5.0,4.2262,6,5,1.0357142857142856,True
5,46,386,1.125,0.372947,16.7826,10.545,8,28,1.0044642857142858,True
73,3,3,1.0,1.0,2.0,2.0,3,3,1.0,True
74,4,6,1.0,1.0,3.0,3.0,4,6,1.0,True
58,3,2,1.0714,0.666667,1.3333,1.25,3,2,0.9375,True
6,2,1,0.9286,1.0,1.0,0.9286,2,1,0.9285714285714286,False
107,2,1,0.9286,1.0,1.0,0.9286,2,1,0.9285714285714286,False
37,3,2,0.9286,0.666667,1.3333,0.9762,2,1,0.9285714285714286,False
177,2,1,0.9286,1.0,1.0,0.9286,2,1,0.9285714285714286,False
99,6,15,0.9107,1.0,5.0,3.6012,6,5,0.9107142857142858,True
204,4,6,0.9107,1.0,3.0,2.3036,4,3,0.9107142857142857,True
181,4,6,0.9107,1.0,3.0,2.3036,4,3,0.9107142857142857,True
52,22,112,1.5893,0.484848,10.1818,7.0747,11,31,0.8917050691244239,True
105,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
189,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
69,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
111,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
196,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
135,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
138,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
124,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
190,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
154,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
131,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
98,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
203,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
195,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
147,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
123,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
8,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
94,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
27,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
104,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
119,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
42,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
103,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
70,2,1,0.8036,1.0,1.0,0.8036,2,1,0.8035714285714286,False
51,3,2,0.8036,0.666667,1.3333,0.9762,2,1,0.8035714285714286,False
34,3,2,0.8036,0.666667,1.3333,1.0714,3,2,0.8035714285714286,True
19,10,30,0.8036,0.666667,6.0,3.0679,2,1,0.8035714285714286,False
17,12,29,1.875,0.439394,4.8333,3.7768,11,28,0.7901785714285714,True
206,5,10,0.7857,1.0,4.0,2.4571,5,4,0.7857142857142857,True
169,5,10,0.7857,1.0,4.0,2.4571,5,4,0.7857142857142857,True
182,5,10,0.7857,1.0,4.0,2.4571,5,4,0.7857142857142857,True
47,7,12,1.0714,0.571429,3.4286,2.602,6,11,0.7792207792207791,True
184,11,17,0.8036,0.309091,3.0909,2.1364,7,12,0.7589285714285715,True
3,5,10,0.75,1.0,4.0,3.0,5,10,0.75,True
44,7,21,0.75,1.0,6.0,4.5,7,21,0.75,True
130,4,6,0.75,1.0,3.0,2.25,4,6,0.75,True
53,19,39,0.75,0.22807,4.1053,2.3383,5,10,0.75,True
90,5,7,0.75,0.7,2.8,2.0143,4,6,0.75,True
15,7,16,0.75,0.761905,4.5714,3.3673,6,15,0.75,True
183,7,16,0.75,0.761905,4.5714,3.3673,6,15,0.75,True
16,5,10,0.75,1.0,4.0,3.0,5,10,0.75,True
2,8,17,0.75,0.607143,4.25,3.0804,6,15,0.75,True
48,8,17,0.75,0.607143,4.25,3.0804,6,15,0.75,True
18,7,16,0.75,0.761905,4.5714,3.3673,6,15,0.75,True
116,7,16,0.75,0.761905,4.5714,3.3673,6,15,0.75,True
23,2,1,0.6607,1.0,1.0,0.6607,2,1,0.6607142857142857,False
60,2,1,0.6607,1.0,1.0,0.6607,2,1,0.6607142857142857,False
163,2,1,0.6607,1.0,1.0,0.6607,2,1,0.6607142857142857,False
78,2,1,0.6607,1.0,1.0,0.6607,2,1,0.6607142857142857,False
151,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
89,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
88,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
149,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
79,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
92,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
95,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
148,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
101,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
72,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
100,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
59,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
144,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
45,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
7,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
155,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
9,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
158,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
167,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
63,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
172,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
64,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
170,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
114,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
168,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
166,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
139,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
122,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
67,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
115,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
68,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
136,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
109,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
121,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
96,3,2,0.5357,0.666667,1.3333,0.7143,2,1,0.5357142857142857,False
202,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
11,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
102,9,23,0.5357,0.638889,5.1111,2.5714,2,1,0.5357142857142857,False
71,3,2,0.5357,0.666667,1.3333,0.7143,2,1,0.5357142857142857,False
61,3,2,0.5357,0.666667,1.3333,0.7143,2,1,0.5357142857142857,False
66,3,2,0.5357,0.666667,1.3333,0.7143,2,1,0.5357142857142857,False
41,3,2,0.5357,0.666667,1.3333,0.7143,2,1,0.5357142857142857,False
187,3,2,0.5357,0.666667,1.3333,0.7143,2,1,0.5357142857142857,False
22,3,2,0.5357,0.666667,1.3333,0.7143,2,1,0.5357142857142857,False
0,3,2,0.5357,0.666667,1.3333,0.7143,2,1,0.5357142857142857,False
117,3,2,0.5357,0.666667,1.3333,0.7143,2,1,0.5357142857142857,False
118,3,2,0.5357,0.666667,1.3333,0.7143,2,1,0.5357142857142857,False
129,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
29,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
30,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
185,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
31,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
191,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
32,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
13,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
199,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
198,2,1,0.5357,1.0,1.0,0.5357,2,1,0.5357142857142857,False
