hcc_id,community_size,n_unique_hashtags,primary_brand,brand_label_auto,brand_combo,brand_confidence,brand_label_source,top_brand_score,second_brand,second_brand_score,top_brand_share,product_context_top_brand,product_context_top_score,product_context_second_brand,product_context_second_score,product_context_top_share,product_context_combo,azarine_score,daviena_score,maryame_score,the_originote_score,azarine_users,daviena_users,maryame_users,the_originote_users,azarine_videos,daviena_videos,maryame_videos,the_originote_videos,azarine_context_comments,daviena_context_comments,maryame_context_comments,the_originote_context_comments,azarine_context_users,daviena_context_users,maryame_context_users,the_originote_context_users,azarine_context_videos,daviena_context_videos,maryame_context_videos,the_originote_context_videos,top_brand_hashtags,top_5_hashtags_overall
1,3,31,Daviena,Mixed_3plus_Brands,Daviena + Maryame + Azarine,Low,hashtag_lexicon,4,Maryame,4,0.4,Maryame,12,Daviena,6,0.5714,Maryame + Daviena + Azarine,2,4,4,0,6,12,9,0,2,4,4,0,3,6,12,0,3,3,3,0,1,2,4,0,davienaretinol(1); ownerdavienaskincare(1); daviena(1); retinoldaviena(1),retinolskincare(2); maryamebeautee(2); glowup(2); retinoldaviena(1); creamajaib(1)
2,6,6,Maryame,Maryame,Maryame,High,hashtag_lexicon,3,,0,1.0,Maryame,18,,0,1.0000,Maryame,0,0,3,0,0,0,6,0,0,0,3,0,0,0,18,0,0,0,6,0,0,0,3,0,maryame(3),maryame(3); dokterdetektif(1); tipsandtricks(1); mputrizahro(1); tips(1)
3,5,12,Maryame,Mixed_2_Brands,Maryame + The Originote,Medium,hashtag_lexicon,1,The Originote,1,0.5,Azarine,5,Maryame,5,0.3333,Azarine + Maryame + The Originote,0,0,1,1,0,0,5,5,0,0,1,1,5,0,5,5,5,0,5,5,1,0,1,1,maryame(1),skincareampuh(1); mencerahkankulit(1); retinol(1); mengurangitandapenuaan(1); encapsulatedretinol(1)
5,8,16,The Originote,The Originote,The Originote,High,hashtag_lexicon,8,,0,1.0,The Originote,64,,0,1.0000,The Originote,0,0,0,8,0,0,0,24,0,0,0,8,0,0,0,64,0,0,0,8,0,0,0,8,theoriginote(6); reviewserumtheoriginote(1); serumtheoriginote(1),theoriginote(6); brightserum(1); capcut(1); niacinamideserum(1); brighteningserum(1)
14,3,16,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,hashtag_lexicon,2,Maryame,2,0.4,Daviena,6,Maryame,6,0.4000,Daviena + Maryame + The Originote,0,2,2,1,0,6,6,3,0,2,2,1,0,6,6,3,0,3,3,3,0,2,2,1,davienaskincare(1); ownerdavienaskincare(1),skincaretips(1); sleepingmaskretinoldaviena(1); retinol(1); sleepingmaskretinolbooster(1); klarifikasi(1)
15,6,4,The Originote,The Originote,The Originote,High,hashtag_lexicon,1,,0,1.0,Daviena,6,Maryame,6,0.3333,Daviena + Maryame + The Originote,0,0,0,1,0,0,0,6,0,0,0,1,0,6,6,6,0,6,6,6,0,1,1,1,theoriginote(1),racunjuju(1); theoriginote(1); brightb3serum(1); hyalucserum(1)
16,5,9,Daviena,Daviena,Daviena + The Originote,Medium,hashtag_lexicon,2,The Originote,1,0.6667,Daviena,10,The Originote,5,0.6667,Daviena + The Originote,0,2,0,1,0,10,0,5,0,2,0,1,0,10,0,5,0,5,0,5,0,2,0,1,retinoldaviena(1); davienaskincare(1),retinoldaviena(1); davienaskincare(1); carapakeretinol(1); retinol(1); racunjuju(1)
17,11,24,Maryame,Mixed_3plus_Brands,Maryame + The Originote + Azarine,Low,hashtag_lexicon,4,The Originote,3,0.4444,Maryame,21,Azarine,14,0.4773,Maryame + Azarine + The Originote,2,0,4,3,14,0,19,5,2,0,4,3,14,0,21,9,11,0,11,5,3,0,4,3,maryamebeautee(2); maryame(2),theoriginote(3); maryame(2); dokterdetektif(2); maryamebeautee(2); glowupcream(1)
18,6,6,The Originote,The Originote,The Originote,High,hashtag_lexicon,1,,0,1.0,Azarine,6,Maryame,6,0.3333,Azarine + Maryame + The Originote,0,0,0,1,0,0,0,6,0,0,0,1,6,0,6,6,6,0,6,6,1,0,1,1,theoriginote(1),retinolviral(1); skincaremaryame(1); skincareproducts(1); theoriginote(1); brightb3serum(1)
20,3,20,Daviena,Daviena,Daviena + Maryame,Medium,hashtag_lexicon,3,Maryame,2,0.6,Maryame,15,Daviena,9,0.6250,Maryame + Daviena,0,3,2,0,0,9,3,0,0,3,2,0,0,9,15,0,0,3,3,0,0,3,5,0,retinoldaviena(1); davienaskincare(1); ownerdavienaskincare(1),maryame(2); skincaretips(1); stepskincare(1); creamajaib(1); fishcollagen(1)
