hcc_id,brand_label_auto,primary_brand,user_1,user_2,cosine_similarity,user_1_n_comments,user_2_n_comments,user_1_sample_text,user_2_sample_text
1,Mixed_3plus_Brands,Daviena,beauty_ct61338,beautyaddict_ct95316,0.078,7,7,ka ini boleh dipake buat pemula gaaa boleh dijawab ga tp sebagus ituuuu produknya isinya sedit banget ni kk aman bumil busui gak ka msh perlu sunscreen lg gak  keranjang kuning nya gk ada teh,kak apa boleh d campur skin care lain aku kepingin coba juga retinol deviena tp tertahan ekonomi sanggup sekali beli aja isinya dikitttt ih apalah dayaku kk pengen bli tapi bnyk kbutuhan bisa buat kul
1,Mixed_3plus_Brands,Daviena,beauty_ct61338,glowingid_ct92516,0.0353,7,7,ka ini boleh dipake buat pemula gaaa boleh dijawab ga tp sebagus ituuuu produknya isinya sedit banget ni kk aman bumil busui gak ka msh perlu sunscreen lg gak  keranjang kuning nya gk ada teh,bagus retinol yang warna merah atau yang retinol complex nya yaa kakk tanya donk cocok untuk orang blum tentu cocok untuk kita kk emng klo pesen skincare harus tf tf trs kk saya udh tf 285 kk masa har
1,Mixed_3plus_Brands,Daviena,beautyaddict_ct95316,glowingid_ct92516,0.0329,7,7,kak apa boleh d campur skin care lain aku kepingin coba juga retinol deviena tp tertahan ekonomi sanggup sekali beli aja isinya dikitttt ih apalah dayaku kk pengen bli tapi bnyk kbutuhan bisa buat kul,bagus retinol yang warna merah atau yang retinol complex nya yaa kakk tanya donk cocok untuk orang blum tentu cocok untuk kita kk emng klo pesen skincare harus tf tf trs kk saya udh tf 285 kk masa har
2,Maryame,Maryame,beauty_ct7151,beauty_ct8829,0.0,3,3,buat komedo bisa g ka kalo siang ny pake sunscreen aja trs mlm ny pke aha bha dijeda brp lama utk pake maryame ka aq juga pake baru 1 minggu sdh mulai ada perubahan,spf nya berapa kak busui aman gk 
2,Maryame,Maryame,beauty_ct7151,beautyaddict_ct8242,0.0573,3,3,buat komedo bisa g ka kalo siang ny pake sunscreen aja trs mlm ny pke aha bha dijeda brp lama utk pake maryame ka aq juga pake baru 1 minggu sdh mulai ada perubahan,sya mau tapi d emirat kk sekrng sy lg ngerasain gatel beruntusan lanjut pa ga iy tolong jbw kk baru pake 2hri nih bru nyoba kenapa ya aku mah udah habis 1 pot belum ada perubahan
2,Maryame,Maryame,beauty_ct7151,beautyvibe_ct2527,0.0,3,3,buat komedo bisa g ka kalo siang ny pake sunscreen aja trs mlm ny pke aha bha dijeda brp lama utk pake maryame ka aq juga pake baru 1 minggu sdh mulai ada perubahan,isix terlalu sdkt  kak skrng pakai skincare apa
2,Maryame,Maryame,beauty_ct7151,skincare_ct7727,0.047,3,3,buat komedo bisa g ka kalo siang ny pake sunscreen aja trs mlm ny pke aha bha dijeda brp lama utk pake maryame ka aq juga pake baru 1 minggu sdh mulai ada perubahan,semantul itu cream maryame bagus sih flek memudar bru pke 2 minggu tpi hidung komedoan parah cream malamnya kira ada steroidnya ga ya takut bgtt
2,Maryame,Maryame,beauty_ct7151,skinclub_ct2318,0.0284,3,3,buat komedo bisa g ka kalo siang ny pake sunscreen aja trs mlm ny pke aha bha dijeda brp lama utk pake maryame ka aq juga pake baru 1 minggu sdh mulai ada perubahan,aman buat bumill gak bun aku udh co facial wash dan daycream itubisa untuk muka komedo jerawat on off berminyak ga kk pke ss merk apa
2,Maryame,Maryame,beauty_ct8829,beautyaddict_ct8242,0.0,3,3,spf nya berapa kak busui aman gk ,sya mau tapi d emirat kk sekrng sy lg ngerasain gatel beruntusan lanjut pa ga iy tolong jbw kk baru pake 2hri nih bru nyoba kenapa ya aku mah udah habis 1 pot belum ada perubahan
2,Maryame,Maryame,beauty_ct8829,beautyvibe_ct2527,0.0045,3,3,spf nya berapa kak busui aman gk ,isix terlalu sdkt  kak skrng pakai skincare apa
