hcc_id,hashtag,frequency,n_videos,n_users_exposed
1,retinolskincare,2,2,3
1,glowup,2,2,3
1,maryamebeautee,2,2,3
1,reviewretinol,1,1,3
1,retinolserum,1,1,3
1,racuntiktokshop,1,1,3
1,marvelxazarine,1,1,3
1,retinolcomplex,1,1,3
1,azarinecosmetic,1,1,3
1,racunnabella,1,1,3
1,davienaretinol,1,1,3
1,pemutihkulit,1,1,3
1,glowing,1,1,3
1,flks,1,1,3
1,ownerdavienaskincare,1,1,3
1,pemutih,1,1,3
1,daviena,1,1,3
1,berandatiktok,1,1,3
1,buzzer,1,1,3
1,flksguys,1,1,3
1,retinol,1,1,3
1,retinoldaviena,1,1,3
1,cod,1,1,3
1,glowupcream,1,1,3
1,cream,1,1,3
1,jerawatan,1,1,3
1,reviewdeswitatata,1,1,3
1,maryamebeauty,1,1,3
1,maryamebeautyglowupcream,1,1,3
1,creamajaib,1,1,3
1,creamsatset,1,1,3
2,maryame,3,3,6
2,dokterdetektif,1,1,6
2,tips,1,1,6
2,tipsandtricks,1,1,6
2,mputrizahro,1,1,6
2,daycream,1,1,6
3,skincareampuh,1,1,5
3,encapsulatedretinol,1,1,5
3,mencerahkankulit,1,1,5
3,retinol,1,1,5
3,mengurangitandapenuaan,1,1,5
3,tips,1,1,5
3,tipsandtricks,1,1,5
3,maryame,1,1,5
3,mputrizahro,1,1,5
3,berawaldaritiktokshop,1,1,5
3,zonacantik,1,1,5
3,theoriginote,1,1,5
5,theoriginote,6,6,8
5,brightserum,1,1,8
5,brighteningserum,1,1,8
5,niacinamideserum,1,1,8
5,capcut,1,1,8
5,beautyhaulaja,1,1,8
5,skintention,1,1,8
5,skincareproducts,1,1,8
5,reviewserumtheoriginote,1,1,8
5,rekomendasiserum,1,1,8
5,reviewserum,1,1,8
5,brightb3serum,1,1,8
5,serumviral,1,1,8
5,serumtheoriginote,1,1,8
5,berawaldaritiktokshop,1,1,8
5,zonacantik,1,1,8
14,retinol,1,1,3
14,sleepingmaskretinoldaviena,1,1,3
14,skincaretips,1,1,3
14,sleepingmaskretinolbooster,1,1,3
14,permintaanmaaf,1,1,3
14,klarifikasi,1,1,3
14,davienaskincare,1,1,3
14,bismillahfyp,1,1,3
14,ownerdavienaskincare,1,1,3
14,jerawatan,1,1,3
14,reviewdeswitatata,1,1,3
14,maryamebeauty,1,1,3
14,maryamebeautyglowupcream,1,1,3
14,hyalucserum,1,1,3
14,brightb3serum,1,1,3
14,theoriginote,1,1,3
15,racunjuju,1,1,6
15,hyalucserum,1,1,6
15,brightb3serum,1,1,6
15,theoriginote,1,1,6
16,retinol,1,1,5
16,retinoldaviena,1,1,5
16,carapakeretinol,1,1,5
16,davienaskincare,1,1,5
16,racunjuju,1,1,5
16,viralditiktok,1,1,5
16,theoriginotemoisturizer,1,1,5
16,theoriginoteserum,1,1,5
16,theoriginote,1,1,5
17,theoriginote,3,3,5
17,maryamebeautee,2,2,11
17,dokterdetektif,2,2,8
17,maryame,2,2,8
17,marvelxazarine,1,1,7
17,azarinecosmetic,1,1,7
17,retinolviral,1,1,5
17,katadrzie,1,1,2
17,serumazarine,1,1,2
17,azarinesuperserum,1,1,2
17,serum,1,1,2
17,retinol,1,1,2
17,creamajaib,1,1,7
17,creamsatset,1,1,7
17,glowupcream,1,1,5
17,cream,1,1,5
17,glowup,1,1,5
17,brightserum,1,1,2
17,hyalucserum,1,1,2
17,brightb3serum,1,1,2
17,serumvitc,1,1,5
17,serummencerahkan,1,1,5
17,theoriginotehyalucserum,1,1,5
17,theoriginotebrighteningserum,1,1,5
18,retinolviral,1,1,6
18,skincaremaryame,1,1,6
18,skincareproducts,1,1,6
18,hyalucserum,1,1,6
18,brightb3serum,1,1,6
18,theoriginote,1,1,6
20,maryame,2,2,3
20,retinol,1,1,3
20,sleepingmaskretinoldaviena,1,1,3
20,skincaretips,1,1,3
20,sleepingmaskretinolbooster,1,1,3
20,beautytok,1,1,3
20,retinoldaviena,1,1,3
20,permintaanmaaf,1,1,3
20,klarifikasi,1,1,3
20,davienaskincare,1,1,3
20,bismillahfyp,1,1,3
20,ownerdavienaskincare,1,1,3
20,dokterdetektif,1,1,3
20,daycream,1,1,3
20,hydrolizedcollagen,1,1,3
20,chromabright,1,1,3
20,fishcollagen,1,1,3
20,creamajaib,1,1,3
20,stepskincare,1,1,3
20,niacinamide,1,1,3
34,katadrzie,1,1,2
34,serumazarine,1,1,2
34,azarinesuperserum,1,1,2
34,serum,1,1,2
34,retinol,1,1,2
34,tipsskincare,1,1,2
34,pejuangglowing,1,1,2
34,ceritaiketia,1,1,2
34,pejuangglowup,1,1,2
34,fyf,1,1,2
34,retinoldaviena,1,1,2
34,permintaanmaaf,1,1,2
34,klarifikasi,1,1,2
34,davienaskincare,1,1,2
34,bismillahfyp,1,1,2
34,ownerdavienaskincare,1,1,2
34,dokterdetektif,1,1,2
34,maryame,1,1,2
34,serumviral,1,1,2
34,serumtheoriginote,1,1,2
42,retinoldaviena,2,2,5
42,retinol,1,1,5
42,sleepingmaskretinoldaviena,1,1,5
42,skincaretips,1,1,5
42,sleepingmaskretinolbooster,1,1,5
42,tipsskincare,1,1,5
42,pejuangglowing,1,1,5
42,ceritaiketia,1,1,5
42,pejuangglowup,1,1,5
42,fyf,1,1,5
42,retinolskincare,1,1,5
42,davienaskincare,1,1,5
42,reviewskincare,1,1,5
45,maryame,2,2,4
45,azarineproduct,1,1,4
45,retinolserum,1,1,4
45,azarine,1,1,4
45,serumazarinemarvel,1,1,4
45,serumazarine,1,1,4
45,retinolazarine,1,1,4
45,azarineretinol,1,1,4
45,skincareampuh,1,1,4
45,encapsulatedretinol,1,1,4
45,mencerahkankulit,1,1,4
45,retinol,1,1,4
45,mengurangitandapenuaan,1,1,4
45,creammaryamebeautee,1,1,4
45,cuantanpabatas,1,1,4
45,4upage,1,1,4
45,cream,1,1,4
45,skincareviral,1,1,4
45,berawaldaritiktokshop,1,1,4
45,zonacantik,1,1,4
45,theoriginote,1,1,4
46,tipsskincare,1,1,7
46,pejuangglowing,1,1,7
46,ceritaiketia,1,1,7
46,pejuangglowup,1,1,7
46,fyf,1,1,7
46,retinoldaviena,1,1,7
46,reviewserumtheoriginote,1,1,7
46,rekomendasiserum,1,1,7
46,reviewserum,1,1,7
46,theoriginote,1,1,7
48,retinol,1,1,5
