hashtag,frequency,n_videos,n_users_exposed,hashtag_uses_per_account
retinol,33,33,103,0.32
theoriginote,32,32,104,0.308
maryame,25,25,78,0.321
davienaskincare,22,22,54,0.407
retinoldaviena,22,22,60,0.367
creamajaib,13,13,56,0.232
sleepingmaskretinoldaviena,12,12,47,0.255
retinolskincare,11,11,38,0.289
maryamebeautee,10,10,44,0.227
creamsatset,10,10,47,0.213
serumazarine,9,9,32,0.281
davienaretinol,9,9,37,0.243
daycream,8,8,31,0.258
maryamebeautyglowupcream,8,8,29,0.276
brightb3serum,8,8,37,0.216
cream,8,8,34,0.235
retinolserum,7,7,31,0.226
skincareviral,7,7,27,0.259
glowup,7,7,22,0.318
azarinecosmetic,7,7,33,0.212
dokterdetektif,7,7,30,0.233
marvelxazarine,7,7,33,0.212
brightserum,6,6,30,0.2
hyalucserum,6,6,24,0.25
ownerdavienaskincare,6,6,19,0.316
retinolboosterdavienaskincare,6,6,23,0.261
retinolbosterdaviena,6,6,23,0.261
racunjuju,6,6,31,0.194
davienaskincareofficial,6,6,23,0.261
davienabooster,6,6,23,0.261
davienaretinolbooster,6,6,23,0.261
acnefighter,5,5,25,0.2
serumviral,5,5,28,0.179
encapsulatedretinol,5,5,25,0.2
carapakeretinol,5,5,22,0.227
retinolviral,5,5,29,0.172
reviewretinol,5,5,29,0.172
reviewjujurdaviena,5,5,21,0.238
mencerahkankulit,5,5,25,0.2
klarifikasi,5,5,15,0.333
mengurangitandapenuaan,5,5,25,0.2
katadrzie,5,5,22,0.227
reviewskincare,5,5,27,0.185
azarinesuperserum,5,5,22,0.227
serumtheoriginote,5,5,28,0.179
serum,5,5,22,0.227
skincareampuh,5,5,25,0.2
4upage,4,4,21,0.19
berawaldaritiktokshop,4,4,19,0.211
cuantanpabatas,4,4,21,0.19
kerajaanglowing,4,4,15,0.267
maryamebeauty,4,4,14,0.286
maryamebeutee,4,4,18,0.222
moneylaundry,4,4,15,0.267
glowupcream,4,4,19,0.211
longervideos,4,4,15,0.267
fyf,4,4,17,0.235
fypã·,4,4,15,0.267
capcut,4,4,24,0.167
brighteningserum,4,4,24,0.167
creamviral,4,4,16,0.25
creammaryamebeautee,4,4,21,0.19
azarine,4,4,23,0.174
ceritaiketia,4,4,17,0.235
azarineproduct,4,4,23,0.174
azarineretinol,4,4,23,0.174
tipsskincare,4,4,17,0.235
zonacantik,4,4,19,0.211
theoriginotehyalucserum,4,4,19,0.211
sleepingmaskretinolbooster,4,4,12,0.333
reviewserumtheoriginote,4,4,25,0.16
reviewserum,4,4,25,0.16
serumazarinemarvel,4,4,23,0.174
skincaretips,4,4,12,0.333
reviewdeswitatata,4,4,14,0.286
reviewjudes,4,4,15,0.267
theoriginotebrighteningserum,4,4,19,0.211
niacinamideserum,4,4,24,0.167
retinolazarine,4,4,23,0.174
rekomendasiserum,4,4,25,0.16
pejuangglowup,4,4,17,0.235
pejuangglowing,4,4,17,0.235
serumvitc,4,4,19,0.211
serummencerahkan,4,4,19,0.211
gayaditiktok,4,4,15,0.267
jerawatan,4,4,14,0.286
berandatiktok,3,3,11,0.273
cod,3,3,11,0.273
flks,3,3,11,0.273
flksguys,3,3,11,0.273
daycreamviral,3,3,14,0.214
fishcollagen,3,3,11,0.273
buzzer,3,3,11,0.273
bismillahfyp,3,3,8,0.375
chromabright,3,3,11,0.273
daviena,3,3,11,0.273
glowing,3,3,11,0.273
hydrolizedcollagen,3,3,11,0.273
viralditiktok,3,3,17,0.176
theoriginotemoisturizer,3,3,17,0.176
tipsandtricks,3,3,17,0.176
stepskincare,3,3,11,0.273
skincareproducts,3,3,16,0.188
racunnabella,3,3,14,0.214
tips,3,3,17,0.176
theoriginoteserum,3,3,17,0.176
pemutihkulit,3,3,11,0.273
pemutih,3,3,11,0.273
niacinamide,3,3,11,0.273
mputrizahro,3,3,17,0.176
racuntiktokshop,3,3,17,0.176
retinolcomplex,3,3,17,0.176
permintaanmaaf,3,3,8,0.375
kulitcerah,2,2,12,0.167
retinoltips,2,2,12,0.167
retinolcream,2,2,12,0.167
kulitberminyak,2,2,12,0.167
komitmen,2,2,7,0.286
kulitglowing,2,2,12,0.167
retinol101,2,2,12,0.167
retinolbeginners,2,2,12,0.167
retinolpemula,2,2,12,0.167
sleepingmaskretinol,2,2,12,0.167
stitch,2,2,12,0.167
retinolmoisturizer,2,2,12,0.167
skincaremaryame,2,2,8,0.25
sleepingmask,2,2,12,0.167
beautytok,1,1,3,0.333
beautyhaulaja,1,1,8,0.125
skintention,1,1,8,0.125
