hcc_id,mention,frequency,n_videos,n_users_exposed
1,azarinecosmetic,1,1,3
1,owner,1,1,3
1,dewi,1,1,3
1,atinmartini,1,1,3
5,the,1,1,8
14,owner,1,1,3
14,atinmartini,1,1,3
14,onlyyyy.youuuu,1,1,3
15,onlyyyy.youuuu,1,1,6
16,nayy,1,1,5
17,azarinecosmetic,2,2,8
17,pengen,1,1,5
17,juliana,1,1,7
17,dewi,1,1,5
17,onlyyyy.youuuu,1,1,2
18,pengen,1,1,6
18,onlyyyy.youuuu,1,1,6
20,owner,1,1,3
20,heniyuli,1,1,3
20,maryame,1,1,3
34,azarinecosmetic,1,1,2
34,owner,1,1,2
45,dewi,1,1,4
45,maryame,1,1,4
45,wulandesi,1,1,4
46,4021_me,1,1,7
48,dewi,1,1,5
48,maryame,1,1,5
48,wulandesi,1,1,5
49,owner,1,1,6
49,maharajasp,1,1,6
49,onlyyyy.youuuu,1,1,2
52,azarinecosmetic,1,1,5
52,nayy,1,1,5
52,dewi,1,1,5
54,azarinecosmetic,3,3,11
54,pengen,1,1,9
54,daviena,1,1,2
54,wulandesi,1,1,2
63,nayy,1,1,2
63,elisa,1,1,2
63,atinmartini,1,1,2
75,elisa,1,1,4
87,pengen,1,1,5
87,daviena,1,1,5
87,heniyuli,1,1,5
87,maryame,1,1,5
90,azarinecosmetic,1,1,4
103,nayy,1,1,5
113,dewi,2,2,6
113,maryame,1,1,6
113,elisa,1,1,6
117,elisa,1,1,6
132,azarinecosmetic,1,1,4
132,juliana,1,1,4
134,wulandesi,1,1,2
150,maharajasp,1,1,6
150,dewi,1,1,6
150,maryame,1,1,6
150,atinmartini,1,1,6
180,azarinecosmetic,1,1,4
180,pengen,1,1,4
181,nayy,1,1,5
181,owner,1,1,5
182,heniyuli,1,1,6
182,maryame,1,1,6
183,theoriginote,1,1,7
191,onlyyyy.youuuu,1,1,5
191,theoriginote,1,1,5
204,azarinecosmetic,1,1,4
205,the,1,1,5
