source,target,co_temporal_weight,passes_co_temporal_threshold
.pirs_,kulitsehat_rp54793,1,False
03ryss,cantik_ip9501,1,False
1persent__,cantik_ip9501,1,False
1persent__,glowhunter_ip1923,1,False
201019rr,kulitsehat_rp54793,1,False
25juni_,cantik_ip9501,1,False
25juni_,glowhunter_ip1923,1,False
4n4k_k05t,cantik_ip9501,1,False
4n4k_k05t,glowhunter_ip1923,1,False
4urpage20,beautyaddict_ct10959,1,False
4urpage20,cantik_ct95823,1,False
4urpage20,skinclub_ct6649,1,False
7umriani,cantik_ip9501,1,False
7umriani,glowhunter_ip1923,1,False
_.ayy__,cantik_ip9501,1,False
_aggissinawaty_,beautyvibe_rp82732,1,False
_cetek,cantik_ip9501,1,False
_chizuemieko_,kulitsehat_rp54793,1,False
_darikontakanda..._,cantik_ct95823,1,False
_darikontakanda..._,skinclub_ct6649,1,False
_dewaantii,beautyaddict_ct10959,1,False
_imong,beautyvibe_rp82732,1,False
_indah_194,kulitsehat_rp54793,1,False
_kesyaa2,cantik_ip9501,1,False
_kesyaa2,cantiknyata_r3c06m00x8166,1,False
_kesyaa2,cantiknyata_r3c06m01x3833,1,False
_kesyaa2,cantiknyata_r3c06m02x7276,1,False
_kesyaa2,cantiknyata_r3c06m03x7677,1,False
_kesyaa2,cantiknyata_r3c06m04x5441,1,False
_kesyaa2,cantiknyata_r3c06m05x2517,1,False
_kesyaa2,glowhunter_ip1923,1,False
_kesyaa2,glowhunter_ip8756,1,False
_kesyaa2,kulitglowing_ip1790,1,False
_kesyaa2,kulitglowing_ip334,1,False
_kesyaa2,skinbestie_ip9364,1,False
_kikuk53,cantik_ip9501,1,False
_kikuk53,glowhunter_ip1923,1,False
_mamamhv,cantik_ip9501,1,False
_mamamhv,glowhunter_ip1923,1,False
_mawarmerah19_,glowingid_rp61402,1,False
_melyyjii,beautyaddict_ct10959,1,False
_melyyjii,cantik_ct95823,1,False
_melyyjii,skinclub_ct6649,1,False
_newwwtau,beautyaddict_ct10959,1,False
_newwwtau,cantik_ct95823,1,False
_newwwtau,skinclub_ct6649,1,False
_ninitanjlem_293,kulitsehat_rp54793,1,False
_pacarnyaiyann,glowingid_ct18883,1,False
_pacarnyaiyann,skinlover_ct23275,1,False
_pacarnyaiyann,skintok_ct36635,1,False
_pacarnyaiyann,skintok_ct98906,1,False
_sanah90,kulitsehat_rp54793,1,False
_sweetly1808,beautyaddict_rr41856,1,False
_usna91,glowingid_ct18883,1,False
_usna91,skinlover_ct23275,1,False
_usna91,skintok_ct36635,1,False
_usna91,skintok_ct98906,1,False
a3khan7,kulitglowing_ip1790,1,False
aakmasron,beautyaddict_rr41856,1,False
abcdefghilove_chy,beautyaddict_ct10959,1,False
abcdefghilove_chy,cantik_ct95823,1,False
abcdefghilove_chy,skinclub_ct6649,1,False
abhiedha0506,beautyaddict_ct75025,1,False
abhiedha0506,beautyvibe_ct9600,1,False
abhiedha0506,glowingid_ct11995,1,False
abhiedha0506,glowup_ct93477,1,False
abhiedha0506,kulitglowing_ct49929,1,False
abhiedha0506,racun_ct61657,1,False
abhiedha0506,skincare_ct68797,1,False
abidzarmaulana03,skinclub_ct6649,1,False
absurdz6666,cantik_ip9501,1,False
acaa_669,beautyvibe_rp82732,1,False
accaaahh_,kulitsehat_rp54793,1,False
acnefighter070,racun_ip2774,1,False
adekawq,glowhunter_cp9145,1,False
adha2896,skinbestie_ip9364,1,False
afagassi,beautyaddict_ct10959,1,False
afagassi,cantik_ct95823,1,False
afrilss1,skinlover_ip9713,1,False
afshanaila12,bestieku_ct74574,1,False
afshanaila12,skincare_ct78893,1,False
afshanaila12,skintok_ct53509,1,False
afshanaila12,testireal_ct35011,1,False
agustirini93,beautyaddict_ct10959,1,False
agustirini93,cantik_ct95823,1,False
agustirini93,skinclub_ct6649,1,False
aiemviana_,glowingid_ct18883,1,False
aiemviana_,skinlover_ct23275,1,False
