source,target,temporal_weight
kenapakepo88,kina_viaa,9
dlameyy,kina_viaa,9
dwe.sharah,kina_viaa,9
dlameyy,kenapakepo88,20
dwe.sharah,kenapakepo88,18
ilysm4s,kenapakepo88,2
dlameyy,dwe.sharah,16
dwe.sharah,mutia_hafidh,2
dwe.sharah,ilysm4s,2
dwe.sharah,istii792,15
dwe.sharah,scrp20,16
dwe.sharah,uulazaa,21
dwe.sharah,nindyasari_,14
dwe.sharah,raisya1._,19
dwe.sharah,sulistian_1,11
istii792,kenapakepo88,17
istii792,scrp20,9
istii792,uulazaa,13
istii792,nindyasari_,9
istii792,raisya1._,15
istii792,sulistian_1,6
kenapakepo88,scrp20,16
kenapakepo88,uulazaa,16
kenapakepo88,nindyasari_,13
kenapakepo88,raisya1._,17
kenapakepo88,sulistian_1,14
raisya1._,rezaaaaputri,2
scrp20,uulazaa,15
nindyasari_,scrp20,8
raisya1._,scrp20,10
scrp20,sulistian_1,8
nindyasari_,uulazaa,9
raisya1._,uulazaa,14
sulistian_1,uulazaa,8
nindyasari_,raisya1._,12
nindyasari_,sulistian_1,6
raisya1._,sulistian_1,9
nindhie82,nindyasari_,9
kenapakepo88,nindhie82,17
dlameyy,nindhie82,23
kina_viaa,nindhie82,7
namidaaa03,nindhie82,2
nindhie82,vaquar1us,12
dlameyy,nindyasari_,12
kina_viaa,nindyasari_,6
nindyasari_,vaquar1us,7
kenapakepo88,vaquar1us,13
dlameyy,namidaaa03,2
dlameyy,vaquar1us,15
dlameyy,uulazaa,9
kina_viaa,vaquar1us,9
kina_viaa,uulazaa,6
istii792,kina_viaa,6
kina_viaa,scrp20,7
namidaaa03,vaquar1us,2
nindhie82,uulazaa,6
istii792,nindhie82,6
nindhie82,scrp20,9
dwe.sharah,nindhie82,15
dlameyy,istii792,9
dlameyy,scrp20,6
uulazaa,vaquar1us,18
istii792,vaquar1us,8
scrp20,vaquar1us,10
dwe.sharah,vaquar1us,14
cahayasalsabilaaaaaaa,ndhyulee,5
cahayasalsabilaaaaaaa,rizkifauzi402,8
cahayasalsabilaaaaaaa,miraakhumaida,5
cahayasalsabilaaaaaaa,esemm0212,5
cahayasalsabilaaaaaaa,mukar___,7
cahayasalsabilaaaaaaa,laksitaanggi_,6
ndhyulee,rizkifauzi402,9
miraakhumaida,ndhyulee,8
esemm0212,ndhyulee,8
mukar___,ndhyulee,6
laksitaanggi_,ndhyulee,8
miraakhumaida,rizkifauzi402,21
esemm0212,rizkifauzi402,19
mukar___,rizkifauzi402,13
laksitaanggi_,rizkifauzi402,27
putriraa_4,rizkifauzi402,18
all_aboutvi,rizkifauzi402,27
esemm0212,miraakhumaida,13
miraakhumaida,mukar___,8
laksitaanggi_,miraakhumaida,16
miraakhumaida,putriraa_4,13
all_aboutvi,miraakhumaida,14
esemm0212,mukar___,6
esemm0212,laksitaanggi_,15
esemm0212,putriraa_4,12
all_aboutvi,esemm0212,15
laksitaanggi_,mukar___,9
mukar___,putriraa_4,6
all_aboutvi,mukar___,8
laksitaanggi_,putriraa_4,12
all_aboutvi,laksitaanggi_,16
elshanumalmahyra02,laksitaanggi_,2
esemm0212,trullyre_,7
all_aboutvi,putriraa_4,14
putriraa_4,trullyre_,6
laksitaanggi_,trullyre_,6
all_aboutvi,trullyre_,7
lvnvick._,sisisinta498,2
sisisinta498,tyeline2,7
sisisinta498,vidiaayuuu,3
i.frdaaa,sisisinta498,6
lvnvick._,tyeline2,2
tyeline2,vidiaayuuu,9
___.551,tyeline2,2
i.frdaaa,tyeline2,11
tyeline2,xwayyy.1,12
eryy622,tyeline2,10
ajie.wardhana,tyeline2,12
i.frdaaa,vidiaayuuu,20
vidiaayuuu,xwayyy.1,6
eryy622,vidiaayuuu,9
ajie.wardhana,vidiaayuuu,9
___.551,xwayyy.1,2
i.frdaaa,xwayyy.1,10
eryy622,i.frdaaa,7
ajie.wardhana,i.frdaaa,11
